Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kamalei Correa,BAL,PIT,2016-11-06,2016,9,Out,thigh,,
Kamalei Correa,BAL,CLE,2016-11-10,2016,10,Questionable,thigh,,
Kamalei Correa,BAL,DAL,2016-11-20,2016,11,Questionable,thigh,,
Kamalei Correa,BAL,PIT,2016-12-25,2016,16,Injured Reserve,Ribs,,
Kamalei Correa,BAL,CIN,2017-01-01,2016,17,Injured Reserve,Ribs,,
Kamalei Correa,TEN,JAX,2018-09-23,2018,3,Questionable,Back,,
Kamalei Correa,TEN,BAL,2018-10-14,2018,6,Questionable,Foot,,
Kamalei Correa,TEN,TAM,2019-10-27,2019,8,Questionable,Knee,,
Kamalei Correa,JAX,MIN,2020-12-06,2020,13,Out,Hamstring,,
Kamalei Correa,JAX,TEN,2020-12-13,2020,14,Questionable,Hamstring,,
