Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Phil Haynes,SEA,CIN,2019-09-08,2019,1,Physically Unable to Perform,,,
Phil Haynes,SEA,PIT,2019-09-15,2019,2,Physically Unable to Perform,,,
Phil Haynes,SEA,NOR,2019-09-22,2019,3,Physically Unable to Perform,,,
Phil Haynes,SEA,ARI,2019-09-29,2019,4,Physically Unable to Perform,,,
Phil Haynes,SEA,LAR,2019-10-03,2019,5,Physically Unable to Perform,,,
Phil Haynes,SEA,CLE,2019-10-13,2019,6,Physically Unable to Perform,,,
Phil Haynes,SEA,BAL,2019-10-20,2019,7,Physically Unable to Perform,,,
Phil Haynes,SEA,ATL,2019-10-27,2019,8,Physically Unable to Perform,,,
Phil Haynes,SEA,TAM,2019-11-03,2019,9,Physically Unable to Perform,,,
Phil Haynes,SEA,SFO,2019-11-11,2019,10,Questionable,Ankle,,
Phil Haynes,SEA,ARI,2020-11-19,2020,11,Injured Reserve,,,
Phil Haynes,SEA,NYJ,2020-12-13,2020,14,Questionable,Hip,,
Phil Haynes,SEA,WAS,2020-12-20,2020,15,Out,Groin,,
Phil Haynes,SEA,LAR,2020-12-27,2020,16,Injured Reserve,,,
Phil Haynes,SEA,SFO,2021-01-03,2020,17,Injured Reserve,,,
