Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nick Bawden,DET,NYJ,2018-09-10,2018,1,Injured Reserve,Knee,,
Nick Bawden,DET,SFO,2018-09-16,2018,2,Injured Reserve,Knee,,
Nick Bawden,DET,NWE,2018-09-23,2018,3,Injured Reserve,Knee,,
Nick Bawden,DET,DAL,2018-09-30,2018,4,Injured Reserve,Knee,,
Nick Bawden,DET,GNB,2018-10-07,2018,5,Injured Reserve,Knee,,
Nick Bawden,DET,MIA,2018-10-21,2018,7,Injured Reserve,Knee,,
Nick Bawden,DET,SEA,2018-10-28,2018,8,Injured Reserve,Knee,,
Nick Bawden,DET,MIN,2018-11-04,2018,9,Injured Reserve,Knee,,
Nick Bawden,DET,CHI,2018-11-11,2018,10,Injured Reserve,Knee,,
Nick Bawden,DET,CAR,2018-11-18,2018,11,Injured Reserve,Knee,,
Nick Bawden,DET,CHI,2018-11-22,2018,12,Injured Reserve,Knee,,
Nick Bawden,DET,LAR,2018-12-02,2018,13,Injured Reserve,Knee,,
Nick Bawden,DET,ARI,2018-12-09,2018,14,Injured Reserve,Knee,,
Nick Bawden,DET,BUF,2018-12-16,2018,15,Injured Reserve,Knee,,
Nick Bawden,DET,MIN,2018-12-23,2018,16,Injured Reserve,Knee,,
Nick Bawden,DET,GNB,2018-12-30,2018,17,Injured Reserve,Knee,,
Nick Bawden,DET,MIN,2019-10-20,2019,7,Questionable,Back,,
Nick Bawden,DET,NYG,2019-10-27,2019,8,Questionable,Foot,,
Nick Bawden,DET,DAL,2019-11-17,2019,11,Questionable,Foot,,
Nick Bawden,DET,WAS,2019-11-24,2019,12,Injured Reserve,,,
Nick Bawden,DET,CHI,2019-11-28,2019,13,Injured Reserve,,,
Nick Bawden,DET,MIN,2019-12-08,2019,14,Injured Reserve,,,
Nick Bawden,DET,TAM,2019-12-15,2019,15,Injured Reserve,,,
Nick Bawden,DET,DEN,2019-12-22,2019,16,Injured Reserve,,,
Nick Bawden,DET,GNB,2019-12-29,2019,17,Injured Reserve,,,
Nick Bawden,DET,CHI,2020-09-13,2020,1,Injured Reserve,,,
Nick Bawden,DET,GNB,2020-09-20,2020,2,Injured Reserve,,,
Nick Bawden,DET,ARI,2020-09-27,2020,3,Injured Reserve,,,
Nick Bawden,DET,NOR,2020-10-04,2020,4,Injured Reserve,,,
Nick Bawden,DET,JAX,2020-10-18,2020,6,Injured Reserve,,,
Nick Bawden,DET,ATL,2020-10-25,2020,7,Injured Reserve,,,
Nick Bawden,DET,IND,2020-11-01,2020,8,Injured Reserve,,,
Nick Bawden,DET,MIN,2020-11-08,2020,9,Injured Reserve,,,
Nick Bawden,DET,WAS,2020-11-15,2020,10,Injured Reserve,,,
Nick Bawden,DET,CAR,2020-11-22,2020,11,Injured Reserve,,,
