Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tedric Thompson,SEA,KAN,2018-12-23,2018,16,Out,Chest,,
Tedric Thompson,SEA,ARI,2018-12-30,2018,17,Questionable,Ankle,,
Tedric Thompson,SEA,PIT,2019-09-15,2019,2,Doubtful,Hamstring,,
Tedric Thompson,SEA,NOR,2019-09-22,2019,3,Questionable,Hamstring,,
Tedric Thompson,SEA,TAM,2019-11-03,2019,9,Injured Reserve,,,
Tedric Thompson,SEA,SFO,2019-11-11,2019,10,Injured Reserve,,,
Tedric Thompson,SEA,PHI,2019-11-24,2019,12,Injured Reserve,,,
Tedric Thompson,SEA,MIN,2019-12-02,2019,13,Injured Reserve,,,
Tedric Thompson,SEA,LAR,2019-12-08,2019,14,Injured Reserve,,,
Tedric Thompson,SEA,CAR,2019-12-15,2019,15,Injured Reserve,,,
Tedric Thompson,SEA,ARI,2019-12-22,2019,16,Injured Reserve,,,
Tedric Thompson,SEA,SFO,2019-12-29,2019,17,Injured Reserve,,,
Tedric Thompson,CLE,TEN,2020-12-06,2020,13,Out,Not Injury Related,,
