Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ryan Groy,BUF,BAL,2016-09-11,2016,1,Questionable,ribs,,
Ryan Groy,BUF,MIA,2017-12-31,2017,17,Questionable,Illness,,
Ryan Groy,LAC,DEN,2020-11-01,2020,8,C19,,,
Ryan Groy,LAC,LVR,2020-11-08,2020,9,C19,,,
Ryan Groy,LAC,MIA,2020-11-15,2020,10,C19,,,
Ryan Groy,LAC,NYJ,2020-11-22,2020,11,C19,,,
Ryan Groy,LAC,BUF,2020-11-29,2020,12,C19,,,
Ryan Groy,LAC,NWE,2020-12-06,2020,13,C19,,,
Ryan Groy,LAC,ATL,2020-12-13,2020,14,C19,,,
Ryan Groy,LAC,LVR,2020-12-17,2020,15,C19,,,
Ryan Groy,LAC,DEN,2020-12-27,2020,16,C19,,,
Ryan Groy,LAC,KAN,2021-01-03,2020,17,C19,,,
