Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Cornelius Washington,DET,NOR,2017-10-15,2017,6,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,TAM,2017-12-10,2017,14,Questionable,Shoulder,,
Cornelius Washington,DET,NYJ,2018-09-10,2018,1,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,SFO,2018-09-16,2018,2,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,NWE,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,DAL,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,GNB,2018-10-07,2018,5,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,MIA,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,SEA,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,MIN,2018-11-04,2018,9,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,CHI,2018-11-11,2018,10,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,CAR,2018-11-18,2018,11,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,CHI,2018-11-22,2018,12,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,LAR,2018-12-02,2018,13,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,ARI,2018-12-09,2018,14,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,BUF,2018-12-16,2018,15,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,MIN,2018-12-23,2018,16,Injured Reserve,Undisclosed,,
Cornelius Washington,DET,GNB,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
