Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Parry Nickerson,GNB,HOU,2020-10-25,2020,7,Injured Reserve,,,
Parry Nickerson,GNB,MIN,2020-11-01,2020,8,Injured Reserve,,,
Parry Nickerson,GNB,SFO,2020-11-05,2020,9,Injured Reserve,,,
Parry Nickerson,GNB,JAX,2020-11-15,2020,10,Injured Reserve,,,
Parry Nickerson,GNB,IND,2020-11-22,2020,11,Injured Reserve,,,
Parry Nickerson,GNB,CHI,2020-11-29,2020,12,Injured Reserve,,,
Parry Nickerson,GNB,PHI,2020-12-06,2020,13,Injured Reserve,,,
Parry Nickerson,GNB,DET,2020-12-13,2020,14,Injured Reserve,,,
Parry Nickerson,GNB,CAR,2020-12-19,2020,15,Injured Reserve,,,
Parry Nickerson,GNB,TEN,2020-12-27,2020,16,Injured Reserve,,,
Parry Nickerson,GNB,CHI,2021-01-03,2020,17,Injured Reserve,,,
