Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nazair Jones,SEA,NYG,2017-10-22,2017,7,Questionable,Knee,,
Nazair Jones,SEA,PHI,2017-12-03,2017,13,Injured Reserve,Ankle,,
Nazair Jones,SEA,JAX,2017-12-10,2017,14,Injured Reserve,Ankle,,
Nazair Jones,SEA,LAR,2017-12-17,2017,15,Injured Reserve,Ankle,,
Nazair Jones,SEA,DAL,2017-12-24,2017,16,Injured Reserve,Ankle,,
Nazair Jones,SEA,ARI,2017-12-31,2017,17,Out,Foot,,
Nazair Jones,SEA,LAR,2018-11-11,2018,10,Questionable,Illness,,
Nazair Jones,SEA,CIN,2019-09-08,2019,1,Injured Reserve,,,
Nazair Jones,SEA,PIT,2019-09-15,2019,2,Injured Reserve,,,
Nazair Jones,SEA,NOR,2019-09-22,2019,3,Injured Reserve,,,
Nazair Jones,SEA,ARI,2019-09-29,2019,4,Injured Reserve,,,
Nazair Jones,SEA,LAR,2019-10-03,2019,5,Injured Reserve,,,
Nazair Jones,SEA,CLE,2019-10-13,2019,6,Injured Reserve,,,
Nazair Jones,SEA,BAL,2019-10-20,2019,7,Injured Reserve,,,
Nazair Jones,SEA,ATL,2019-10-27,2019,8,Injured Reserve,,,
Nazair Jones,SEA,TAM,2019-11-03,2019,9,Injured Reserve,,,
Nazair Jones,SEA,SFO,2019-11-11,2019,10,Injured Reserve,,,
Nazair Jones,SEA,PHI,2019-11-24,2019,12,Injured Reserve,,,
Nazair Jones,SEA,MIN,2019-12-02,2019,13,Injured Reserve,,,
Nazair Jones,SEA,LAR,2019-12-08,2019,14,Injured Reserve,,,
Nazair Jones,SEA,CAR,2019-12-15,2019,15,Injured Reserve,,,
Nazair Jones,SEA,ARI,2019-12-22,2019,16,Injured Reserve,,,
Nazair Jones,SEA,SFO,2019-12-29,2019,17,Injured Reserve,,,
