Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Russell Shepard,CAR,TAM,2017-12-24,2017,16,Questionable,Shoulder,,
Russell Shepard,NYG,PHI,2018-10-11,2018,6,Out,Neck,,
Russell Shepard,NYG,ATL,2018-10-22,2018,7,Questionable,Neck,,
Russell Shepard,NYG,IND,2018-12-23,2018,16,Out,Ankle,,
Russell Shepard,NYG,DAL,2018-12-30,2018,17,Out,Ankle,,
Russell Shepard,NYG,WAS,2019-09-29,2019,4,Injured Reserve,,,
Russell Shepard,NYG,MIN,2019-10-06,2019,5,Injured Reserve,,,
Russell Shepard,NYG,NWE,2019-10-10,2019,6,Injured Reserve,,,
Russell Shepard,NYG,ARI,2019-10-20,2019,7,Injured Reserve,,,
Russell Shepard,NYG,DET,2019-10-27,2019,8,Injured Reserve,,,
Russell Shepard,NYG,DAL,2019-11-04,2019,9,Injured Reserve,,,
Russell Shepard,NYG,NYJ,2019-11-10,2019,10,Injured Reserve,,,
Russell Shepard,NYG,CHI,2019-11-24,2019,12,Injured Reserve,,,
Russell Shepard,NYG,GNB,2019-12-01,2019,13,Injured Reserve,,,
Russell Shepard,NYG,PHI,2019-12-09,2019,14,Injured Reserve,,,
Russell Shepard,NYG,MIA,2019-12-15,2019,15,Injured Reserve,,,
Russell Shepard,NYG,WAS,2019-12-22,2019,16,Injured Reserve,,,
Russell Shepard,NYG,PHI,2019-12-29,2019,17,Injured Reserve,,,
