Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Malcolm Johnson,GNB,CHI,2019-09-05,2019,1,Injured Reserve,,,
Malcolm Johnson,GNB,MIN,2019-09-15,2019,2,Injured Reserve,,,
Malcolm Johnson,GNB,DEN,2019-09-22,2019,3,Injured Reserve,,,
Malcolm Johnson,GNB,PHI,2019-09-26,2019,4,Injured Reserve,,,
Malcolm Johnson,GNB,DAL,2019-10-06,2019,5,Injured Reserve,,,
Malcolm Johnson,GNB,DET,2019-10-14,2019,6,Injured Reserve,,,
Malcolm Johnson,GNB,OAK,2019-10-20,2019,7,Injured Reserve,,,
Malcolm Johnson,GNB,KAN,2019-10-27,2019,8,Injured Reserve,,,
Malcolm Johnson,GNB,LAC,2019-11-03,2019,9,Injured Reserve,,,
Malcolm Johnson,GNB,CAR,2019-11-10,2019,10,Injured Reserve,,,
Malcolm Johnson,GNB,SFO,2019-11-24,2019,12,Injured Reserve,,,
Malcolm Johnson,GNB,NYG,2019-12-01,2019,13,Injured Reserve,,,
Malcolm Johnson,GNB,WAS,2019-12-08,2019,14,Injured Reserve,,,
Malcolm Johnson,GNB,CHI,2019-12-15,2019,15,Injured Reserve,,,
Malcolm Johnson,GNB,MIN,2019-12-23,2019,16,Injured Reserve,,,
Malcolm Johnson,GNB,DET,2019-12-29,2019,17,Injured Reserve,,,
