Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dylan Cantrell,LAC,IND,2019-09-08,2019,1,Injured Reserve,,,
Dylan Cantrell,LAC,DET,2019-09-15,2019,2,Injured Reserve,,,
Dylan Cantrell,LAC,HOU,2019-09-22,2019,3,Injured Reserve,,,
Dylan Cantrell,LAC,MIA,2019-09-29,2019,4,Injured Reserve,,,
Dylan Cantrell,LAC,DEN,2019-10-06,2019,5,Injured Reserve,,,
Dylan Cantrell,LAC,PIT,2019-10-13,2019,6,Injured Reserve,,,
Dylan Cantrell,LAC,TEN,2019-10-20,2019,7,Injured Reserve,,,
Dylan Cantrell,LAC,CHI,2019-10-27,2019,8,Injured Reserve,,,
Dylan Cantrell,LAC,GNB,2019-11-03,2019,9,Injured Reserve,,,
Dylan Cantrell,LAC,OAK,2019-11-07,2019,10,Injured Reserve,,,
Dylan Cantrell,LAC,KAN,2019-11-18,2019,11,Injured Reserve,,,
Dylan Cantrell,LAC,DEN,2019-12-01,2019,13,Injured Reserve,,,
Dylan Cantrell,LAC,JAX,2019-12-08,2019,14,Injured Reserve,,,
Dylan Cantrell,LAC,MIN,2019-12-15,2019,15,Injured Reserve,,,
Dylan Cantrell,LAC,OAK,2019-12-22,2019,16,Injured Reserve,,,
Dylan Cantrell,LAC,KAN,2019-12-29,2019,17,Injured Reserve,,,
