Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Courtland Sutton,DEN,TEN,2020-09-14,2020,1,Questionable,Shoulder,,
Courtland Sutton,DEN,PIT,2020-09-20,2020,2,Questionable,Shoulder,,
Courtland Sutton,DEN,TAM,2020-09-27,2020,3,Injured Reserve,,,
Courtland Sutton,DEN,NYJ,2020-10-01,2020,4,Injured Reserve,,,
Courtland Sutton,DEN,NWE,2020-10-18,2020,6,Injured Reserve,,,
Courtland Sutton,DEN,KAN,2020-10-25,2020,7,Injured Reserve,,,
Courtland Sutton,DEN,LAC,2020-11-01,2020,8,Injured Reserve,,,
Courtland Sutton,DEN,ATL,2020-11-08,2020,9,Injured Reserve,,,
Courtland Sutton,DEN,LVR,2020-11-15,2020,10,Injured Reserve,,,
Courtland Sutton,DEN,MIA,2020-11-22,2020,11,Injured Reserve,,,
Courtland Sutton,DEN,NOR,2020-11-29,2020,12,Injured Reserve,,,
Courtland Sutton,DEN,KAN,2020-12-06,2020,13,Injured Reserve,,,
Courtland Sutton,DEN,CAR,2020-12-13,2020,14,Injured Reserve,,,
Courtland Sutton,DEN,BUF,2020-12-19,2020,15,Injured Reserve,,,
Courtland Sutton,DEN,LAC,2020-12-27,2020,16,Injured Reserve,,,
Courtland Sutton,DEN,LVR,2021-01-03,2020,17,Injured Reserve,,,
