Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marquette King,OAK,BUF,2017-10-29,2017,8,Questionable,Groin,,
Marquette King,DEN,NYJ,2018-10-07,2018,5,Doubtful,Thigh,,
Marquette King,DEN,LAR,2018-10-14,2018,6,Injured Reserve,Groin,,
Marquette King,DEN,ARI,2018-10-18,2018,7,Injured Reserve,Groin,,
Marquette King,DEN,KAN,2018-10-28,2018,8,Injured Reserve,Groin,,
Marquette King,DEN,HOU,2018-11-04,2018,9,Injured Reserve,Groin,,
Marquette King,DEN,LAC,2018-11-18,2018,11,Injured Reserve,Groin,,
Marquette King,DEN,PIT,2018-11-25,2018,12,Injured Reserve,Groin,,
Marquette King,DEN,CIN,2018-12-02,2018,13,Injured Reserve,Groin,,
Marquette King,DEN,SFO,2018-12-09,2018,14,Injured Reserve,Groin,,
Marquette King,DEN,CLE,2018-12-15,2018,15,Injured Reserve,Groin,,
Marquette King,DEN,OAK,2018-12-24,2018,16,Injured Reserve,Groin,,
Marquette King,DEN,LAC,2018-12-30,2018,17,Injured Reserve,Groin,,
