Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ukeme Eligwe,OAK,CAR,2020-09-13,2020,1,Injured Reserve,,,
Ukeme Eligwe,OAK,NOR,2020-09-21,2020,2,Injured Reserve,,,
Ukeme Eligwe,OAK,NWE,2020-09-27,2020,3,Injured Reserve,,,
Ukeme Eligwe,OAK,BUF,2020-10-04,2020,4,Injured Reserve,,,
Ukeme Eligwe,OAK,KAN,2020-10-11,2020,5,Injured Reserve,,,
Ukeme Eligwe,OAK,TAM,2020-10-25,2020,7,Injured Reserve,,,
Ukeme Eligwe,OAK,CLE,2020-11-01,2020,8,Injured Reserve,,,
Ukeme Eligwe,OAK,LAC,2020-11-08,2020,9,Injured Reserve,,,
Ukeme Eligwe,OAK,DEN,2020-11-15,2020,10,Injured Reserve,,,
Ukeme Eligwe,OAK,KAN,2020-11-22,2020,11,Injured Reserve,,,
Ukeme Eligwe,OAK,ATL,2020-11-29,2020,12,Injured Reserve,,,
Ukeme Eligwe,OAK,NYJ,2020-12-06,2020,13,Injured Reserve,,,
Ukeme Eligwe,OAK,IND,2020-12-13,2020,14,Injured Reserve,,,
Ukeme Eligwe,OAK,LAC,2020-12-17,2020,15,Injured Reserve,,,
Ukeme Eligwe,OAK,MIA,2020-12-26,2020,16,Injured Reserve,,,
Ukeme Eligwe,OAK,DEN,2021-01-03,2020,17,Injured Reserve,,,
