Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Malik Hooker,IND,CIN,2017-10-29,2017,8,Injured Reserve,Hamstring,,
Malik Hooker,IND,HOU,2017-11-05,2017,9,Injured Reserve,Hamstring,,
Malik Hooker,IND,PIT,2017-11-12,2017,10,Injured Reserve,Hamstring,,
Malik Hooker,IND,TEN,2017-11-26,2017,12,Injured Reserve,Hamstring,,
Malik Hooker,IND,JAX,2017-12-03,2017,13,Injured Reserve,Hamstring,,
Malik Hooker,IND,BUF,2017-12-10,2017,14,Injured Reserve,Hamstring,,
Malik Hooker,IND,DEN,2017-12-14,2017,15,Injured Reserve,Hamstring,,
Malik Hooker,IND,BAL,2017-12-23,2017,16,Injured Reserve,Hamstring,,
Malik Hooker,IND,HOU,2017-12-31,2017,17,Injured Reserve,Hamstring,,
Malik Hooker,IND,OAK,2018-10-28,2018,8,Out,Hip,,
Malik Hooker,IND,TEN,2018-11-18,2018,11,Questionable,Hip,,
Malik Hooker,IND,OAK,2019-09-29,2019,4,Out,Knee,,
Malik Hooker,IND,KAN,2019-10-06,2019,5,Out,Knee,,
Malik Hooker,IND,HOU,2019-10-20,2019,7,Doubtful,Knee,,
Malik Hooker,IND,PIT,2019-11-03,2019,9,Questionable,Knee,,
Malik Hooker,IND,TAM,2019-12-08,2019,14,Questionable,Foot,,
Malik Hooker,IND,CAR,2019-12-22,2019,16,Questionable,Hand,,
Malik Hooker,IND,NYJ,2020-09-27,2020,3,Injured Reserve,,,
Malik Hooker,IND,CHI,2020-10-04,2020,4,Injured Reserve,,,
Malik Hooker,IND,CLE,2020-10-11,2020,5,Injured Reserve,,,
Malik Hooker,IND,CIN,2020-10-18,2020,6,Injured Reserve,,,
Malik Hooker,IND,DET,2020-11-01,2020,8,Injured Reserve,,,
Malik Hooker,IND,BAL,2020-11-08,2020,9,Injured Reserve,,,
Malik Hooker,IND,TEN,2020-11-12,2020,10,Injured Reserve,,,
Malik Hooker,IND,GNB,2020-11-22,2020,11,Injured Reserve,,,
Malik Hooker,IND,TEN,2020-11-29,2020,12,Injured Reserve,,,
Malik Hooker,IND,HOU,2020-12-06,2020,13,Injured Reserve,,,
Malik Hooker,IND,LVR,2020-12-13,2020,14,Injured Reserve,,,
Malik Hooker,IND,HOU,2020-12-20,2020,15,Injured Reserve,,,
Malik Hooker,IND,PIT,2020-12-27,2020,16,Injured Reserve,,,
Malik Hooker,IND,JAX,2021-01-03,2020,17,Injured Reserve,,,
