Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brandon Greene,CAR,ARI,2019-09-22,2019,3,Out,Neck,,
Brandon Greene,CAR,HOU,2019-09-29,2019,4,Injured Reserve,,,
Brandon Greene,CAR,JAX,2019-10-06,2019,5,Injured Reserve,,,
Brandon Greene,CAR,TAM,2019-10-13,2019,6,Injured Reserve,,,
Brandon Greene,CAR,SFO,2019-10-27,2019,8,Injured Reserve,,,
Brandon Greene,CAR,TEN,2019-11-03,2019,9,Injured Reserve,,,
Brandon Greene,CAR,GNB,2019-11-10,2019,10,Injured Reserve,,,
Brandon Greene,CAR,ATL,2019-11-17,2019,11,Injured Reserve,,,
Brandon Greene,CAR,NOR,2019-11-24,2019,12,Injured Reserve,,,
Brandon Greene,CAR,WAS,2019-12-01,2019,13,Injured Reserve,,,
Brandon Greene,CAR,ATL,2019-12-08,2019,14,Injured Reserve,,,
Brandon Greene,CAR,SEA,2019-12-15,2019,15,Injured Reserve,,,
Brandon Greene,CAR,IND,2019-12-22,2019,16,Injured Reserve,,,
Brandon Greene,CAR,NOR,2019-12-29,2019,17,Injured Reserve,,,
