Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mike Wallace,BAL,NYG,2016-10-16,2016,6,Questionable,chest,,
Mike Wallace,BAL,MIN,2017-10-22,2017,7,Questionable,Back,,
Mike Wallace,BAL,MIA,2017-10-26,2017,8,Questionable,Concussion,,
Mike Wallace,BAL,TEN,2017-11-05,2017,9,Questionable,Back,,
Mike Wallace,BAL,CLE,2017-12-17,2017,15,Questionable,Ankle,,
Mike Wallace,BAL,CIN,2017-12-31,2017,17,Questionable,Knee,,
Mike Wallace,PHI,IND,2018-09-23,2018,3,Injured Reserve,Shin,,
Mike Wallace,PHI,TEN,2018-09-30,2018,4,Injured Reserve,Shin,,
Mike Wallace,PHI,MIN,2018-10-07,2018,5,Injured Reserve,Shin,,
Mike Wallace,PHI,NYG,2018-10-11,2018,6,Injured Reserve,Shin,,
Mike Wallace,PHI,CAR,2018-10-21,2018,7,Injured Reserve,Shin,,
Mike Wallace,PHI,JAX,2018-10-28,2018,8,Injured Reserve,Shin,,
Mike Wallace,PHI,DAL,2018-11-11,2018,10,Injured Reserve,Shin,,
Mike Wallace,PHI,NOR,2018-11-18,2018,11,Injured Reserve,Shin,,
Mike Wallace,PHI,NYG,2018-11-25,2018,12,Injured Reserve,Shin,,
Mike Wallace,PHI,WAS,2018-12-03,2018,13,Injured Reserve,Shin,,
Mike Wallace,PHI,DAL,2018-12-09,2018,14,Injured Reserve,Shin,,
Mike Wallace,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Shin,,
Mike Wallace,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Shin,,
Mike Wallace,PHI,WAS,2018-12-30,2018,17,Out,Ankle,,
