Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Zach Allen,ARI,CIN,2019-10-06,2019,5,Out,Neck,,
Zach Allen,ARI,ATL,2019-10-13,2019,6,Questionable,Neck,,
Zach Allen,ARI,NYG,2019-10-20,2019,7,Out,Neck,,
Zach Allen,ARI,NOR,2019-10-27,2019,8,Out,Neck,,
Zach Allen,ARI,SFO,2019-10-31,2019,9,Out,Neck,,
Zach Allen,ARI,TAM,2019-11-10,2019,10,Out,Neck,,
Zach Allen,ARI,SFO,2019-11-17,2019,11,Injured Reserve,,,
Zach Allen,ARI,LAR,2019-12-01,2019,13,Injured Reserve,,,
Zach Allen,ARI,PIT,2019-12-08,2019,14,Injured Reserve,,,
Zach Allen,ARI,CLE,2019-12-15,2019,15,Injured Reserve,,,
Zach Allen,ARI,SEA,2019-12-22,2019,16,Injured Reserve,,,
Zach Allen,ARI,LAR,2019-12-29,2019,17,Injured Reserve,,,
Zach Allen,ARI,MIA,2020-11-08,2020,9,Injured Reserve,,,
Zach Allen,ARI,BUF,2020-11-15,2020,10,Injured Reserve,,,
Zach Allen,ARI,NWE,2020-11-29,2020,12,Injured Reserve,,,
