Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jared Odrick,JAX,GNB,2016-09-11,2016,1,Questionable,"jaw, concussion protocol",,
Jared Odrick,JAX,BAL,2016-09-25,2016,3,Questionable,triceps,,
Jared Odrick,JAX,IND,2016-10-02,2016,4,Out,tricep,,
Jared Odrick,JAX,OAK,2016-10-23,2016,7,Questionable,Hip,,
Jared Odrick,JAX,TEN,2016-10-27,2016,8,Questionable,quadricep,,
Jared Odrick,JAX,KAN,2016-11-06,2016,9,Out,"foot, ankle",,
Jared Odrick,JAX,BUF,2016-11-27,2016,12,Injured Reserve,Shoulder,,
Jared Odrick,JAX,DEN,2016-12-04,2016,13,Injured Reserve,Shoulder,,
Jared Odrick,JAX,MIN,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Jared Odrick,JAX,HOU,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Jared Odrick,JAX,TEN,2016-12-24,2016,16,Injured Reserve,Shoulder,,
Jared Odrick,JAX,IND,2017-01-01,2016,17,Injured Reserve,Shoulder,,
