Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jack Doyle,IND,SFO,2017-10-08,2017,5,Out,Concussion,,
Jack Doyle,IND,PHI,2018-09-23,2018,3,Out,Hip,,
Jack Doyle,IND,HOU,2018-09-30,2018,4,Out,Hip,,
Jack Doyle,IND,NWE,2018-10-04,2018,5,Out,Hip,,
Jack Doyle,IND,NYJ,2018-10-14,2018,6,Out,Hip,,
Jack Doyle,IND,BUF,2018-10-21,2018,7,Out,Hip,,
Jack Doyle,IND,JAX,2018-12-02,2018,13,Injured Reserve,Kidney,,
Jack Doyle,IND,HOU,2018-12-09,2018,14,Injured Reserve,Kidney,,
Jack Doyle,IND,DAL,2018-12-16,2018,15,Injured Reserve,Kidney,,
Jack Doyle,IND,NYG,2018-12-23,2018,16,Injured Reserve,Kidney,,
Jack Doyle,IND,TEN,2018-12-30,2018,17,Injured Reserve,Kidney,,
Jack Doyle,IND,DEN,2019-10-27,2019,8,Questionable,Groin,,
Jack Doyle,IND,MIN,2020-09-20,2020,2,Out,Ankle,,
Jack Doyle,IND,NYJ,2020-09-27,2020,3,Questionable,Knee,,
Jack Doyle,IND,TEN,2020-11-12,2020,10,Out,Concussion,,
Jack Doyle,IND,GNB,2020-11-22,2020,11,Questionable,Concussion,,
