Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Corey Linsley,GNB,JAX,2016-09-11,2016,1,Injured Reserve,Hamstring,,
Corey Linsley,GNB,MIN,2016-09-18,2016,2,Injured Reserve,Hamstring,,
Corey Linsley,GNB,DET,2016-09-25,2016,3,Injured Reserve,Hamstring,,
Corey Linsley,GNB,NYG,2016-10-09,2016,5,Injured Reserve,Hamstring,,
Corey Linsley,GNB,DAL,2016-10-16,2016,6,Injured Reserve,Hamstring,,
Corey Linsley,GNB,CHI,2016-10-20,2016,7,Injured Reserve,Hamstring,,
Corey Linsley,GNB,ATL,2016-10-30,2016,8,Injured Reserve,Hamstring,,
Corey Linsley,GNB,NOR,2017-10-22,2017,7,Questionable,Back,,
Corey Linsley,GNB,PIT,2017-11-26,2017,12,Questionable,Back,,
Corey Linsley,GNB,KAN,2019-10-27,2019,8,Questionable,Back,,
Corey Linsley,GNB,ATL,2020-10-05,2020,4,Questionable,Groin,,
Corey Linsley,GNB,HOU,2020-10-25,2020,7,Questionable,Back,,
Corey Linsley,GNB,CHI,2020-11-29,2020,12,Questionable,Back,,
Corey Linsley,GNB,PHI,2020-12-06,2020,13,Injured Reserve,,,
Corey Linsley,GNB,DET,2020-12-13,2020,14,Injured Reserve,,,
Corey Linsley,GNB,CAR,2020-12-19,2020,15,Injured Reserve,,,
Corey Linsley,GNB,TEN,2020-12-27,2020,16,Injured Reserve,,,
