Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Brian Cushing,HOU,CHI,2016-09-11,2016,1,day-to-day,torn  MCL,,
Brian Cushing,HOU,KAN,2016-09-18,2016,2,Out,knee,,
Brian Cushing,HOU,NWE,2016-09-22,2016,3,Out,knee,,
Brian Cushing,HOU,TEN,2016-10-02,2016,4,Questionable,knee,,
Brian Cushing,HOU,MIN,2016-10-09,2016,5,day-to-day,torn  MCL,,
Brian Cushing,HOU,IND,2016-10-16,2016,6,day-to-day,torn  MCL,,
Brian Cushing,HOU,DEN,2016-10-24,2016,7,day-to-day,torn  MCL,,
Brian Cushing,HOU,DET,2016-10-30,2016,8,day-to-day,torn  MCL,,
Brian Cushing,HOU,JAX,2016-11-13,2016,10,day-to-day,torn  MCL,,
Brian Cushing,HOU,OAK,2016-11-21,2016,11,day-to-day,torn  MCL,,
Brian Cushing,HOU,SDG,2016-11-27,2016,12,day-to-day,torn  MCL,,
Brian Cushing,HOU,GNB,2016-12-04,2016,13,Questionable,back,,
Brian Cushing,HOU,IND,2016-12-11,2016,14,Questionable,"back, ankle",,
Brian Cushing,HOU,JAX,2016-12-18,2016,15,day-to-day,torn  MCL,,
Brian Cushing,HOU,CIN,2016-12-24,2016,16,day-to-day,torn  MCL,,
Brian Cushing,HOU,TEN,2017-01-01,2016,17,Questionable,ankle,,
Brian Cushing,HOU,CIN,2017-09-14,2017,2,Out,Concussion,,
