Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Eddie Lacy,GNB,CHI,2016-10-20,2016,7,Injured Reserve,Ankle,,
Eddie Lacy,GNB,ATL,2016-10-30,2016,8,Injured Reserve,Ankle,,
Eddie Lacy,GNB,IND,2016-11-06,2016,9,Injured Reserve,Ankle,,
Eddie Lacy,GNB,TEN,2016-11-13,2016,10,Injured Reserve,Ankle,,
Eddie Lacy,GNB,WAS,2016-11-20,2016,11,Injured Reserve,Ankle,,
Eddie Lacy,GNB,PHI,2016-11-28,2016,12,Injured Reserve,Ankle,,
Eddie Lacy,GNB,HOU,2016-12-04,2016,13,Injured Reserve,Ankle,,
Eddie Lacy,GNB,SEA,2016-12-11,2016,14,Injured Reserve,Ankle,,
Eddie Lacy,GNB,CHI,2016-12-18,2016,15,Injured Reserve,Ankle,,
Eddie Lacy,GNB,MIN,2016-12-24,2016,16,Injured Reserve,Ankle,,
Eddie Lacy,GNB,DET,2017-01-01,2016,17,Injured Reserve,Ankle,,
Eddie Lacy,SEA,ARI,2017-11-09,2017,10,Out,Groin,,
