Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Carson Tinker,JAX,HOU,2017-09-10,2017,1,Injured Reserve,Knee,,
Carson Tinker,JAX,TEN,2017-09-17,2017,2,Injured Reserve,Knee,,
Carson Tinker,JAX,BAL,2017-09-24,2017,3,Injured Reserve,Knee,,
Carson Tinker,JAX,NYJ,2017-10-01,2017,4,Injured Reserve,Knee,,
Carson Tinker,JAX,PIT,2017-10-08,2017,5,Injured Reserve,Knee,,
Carson Tinker,JAX,LAR,2017-10-15,2017,6,Injured Reserve,Knee,,
Carson Tinker,JAX,IND,2017-10-22,2017,7,Injured Reserve,Knee,,
Carson Tinker,JAX,CIN,2017-11-05,2017,9,Injured Reserve,Knee,,
Carson Tinker,JAX,LAC,2017-11-12,2017,10,Injured Reserve,Knee,,
Carson Tinker,JAX,CLE,2017-11-19,2017,11,Injured Reserve,Knee,,
Carson Tinker,JAX,ARI,2017-11-26,2017,12,Injured Reserve,Knee,,
Carson Tinker,JAX,IND,2017-12-03,2017,13,Injured Reserve,Knee,,
Carson Tinker,JAX,SEA,2017-12-10,2017,14,Injured Reserve,Knee,,
Carson Tinker,JAX,HOU,2017-12-17,2017,15,Injured Reserve,Knee,,
Carson Tinker,JAX,SFO,2017-12-24,2017,16,Injured Reserve,Knee,,
Carson Tinker,JAX,TEN,2017-12-31,2017,17,Injured Reserve,Knee,,
Carson Tinker,JAX,DAL,2018-10-14,2018,6,Out,Knee,,
Carson Tinker,JAX,HOU,2018-10-21,2018,7,Injured Reserve,Knee,,
Carson Tinker,JAX,PHI,2018-10-28,2018,8,Injured Reserve,Knee,,
Carson Tinker,JAX,IND,2018-11-11,2018,10,Injured Reserve,Knee,,
Carson Tinker,JAX,PIT,2018-11-18,2018,11,Injured Reserve,Knee,,
Carson Tinker,JAX,BUF,2018-11-25,2018,12,Injured Reserve,Knee,,
Carson Tinker,JAX,IND,2018-12-02,2018,13,Injured Reserve,Knee,,
Carson Tinker,JAX,TEN,2018-12-06,2018,14,Injured Reserve,Knee,,
Carson Tinker,JAX,WAS,2018-12-16,2018,15,Injured Reserve,Knee,,
Carson Tinker,JAX,MIA,2018-12-23,2018,16,Injured Reserve,Knee,,
Carson Tinker,JAX,HOU,2018-12-30,2018,17,Injured Reserve,Knee,,
