Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Adoree' Jackson,TEN,TAM,2019-10-27,2019,8,Out,Foot,,
Adoree' Jackson,TEN,OAK,2019-12-08,2019,14,Out,Foot,,
Adoree' Jackson,TEN,HOU,2019-12-15,2019,15,Out,Foot,,
Adoree' Jackson,TEN,NOR,2019-12-22,2019,16,Out,Foot,,
Adoree' Jackson,TEN,HOU,2019-12-29,2019,17,Out,Foot,,
Adoree' Jackson,TEN,DEN,2020-09-14,2020,1,Out,Knee,,
Adoree' Jackson,TEN,JAX,2020-09-20,2020,2,Injured Reserve,,,
Adoree' Jackson,TEN,MIN,2020-09-27,2020,3,Injured Reserve,,,
Adoree' Jackson,TEN,BUF,2020-10-13,2020,5,Injured Reserve,,,
Adoree' Jackson,TEN,HOU,2020-10-18,2020,6,Injured Reserve,,,
Adoree' Jackson,TEN,PIT,2020-10-25,2020,7,Injured Reserve,,,
Adoree' Jackson,TEN,CIN,2020-11-01,2020,8,Injured Reserve,,,
Adoree' Jackson,TEN,CHI,2020-11-08,2020,9,Injured Reserve,,,
Adoree' Jackson,TEN,IND,2020-11-12,2020,10,Injured Reserve,,,
Adoree' Jackson,TEN,BAL,2020-11-22,2020,11,Out,Knee,,
Adoree' Jackson,TEN,CLE,2020-12-06,2020,13,Out,Knee,,
Adoree' Jackson,TEN,JAX,2020-12-13,2020,14,Out,Knee,,
Adoree' Jackson,TEN,DET,2020-12-20,2020,15,Questionable,Knee,,
