Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dennis Parks,CLE,PHI,2016-09-11,2016,1,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,BAL,2016-09-18,2016,2,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,MIA,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,WAS,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,NWE,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,TEN,2016-10-16,2016,6,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,CIN,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,NYJ,2016-10-30,2016,8,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,DAL,2016-11-06,2016,9,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,BAL,2016-11-10,2016,10,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,PIT,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,NYG,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,CIN,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,BUF,2016-12-18,2016,15,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,SDG,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Dennis Parks,CLE,PIT,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
