Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Makinton Dorleant,GNB,JAX,2016-09-11,2016,1,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,MIN,2016-09-18,2016,2,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,DET,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,NYG,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,DAL,2016-10-16,2016,6,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,CHI,2016-10-20,2016,7,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,ATL,2016-10-30,2016,8,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,IND,2016-11-06,2016,9,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,TEN,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,WAS,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,PHI,2016-11-28,2016,12,Injured Reserve,Undisclosed,,
Makinton Dorleant,GNB,HOU,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Makinton Dorleant,OAK,DEN,2019-09-09,2019,1,Injured Reserve,,,
Makinton Dorleant,OAK,KAN,2019-09-15,2019,2,Injured Reserve,,,
Makinton Dorleant,OAK,MIN,2019-09-22,2019,3,Injured Reserve,,,
Makinton Dorleant,OAK,IND,2019-09-29,2019,4,Injured Reserve,,,
Makinton Dorleant,OAK,CHI,2019-10-06,2019,5,Injured Reserve,,,
Makinton Dorleant,OAK,GNB,2019-10-20,2019,7,Injured Reserve,,,
Makinton Dorleant,OAK,HOU,2019-10-27,2019,8,Injured Reserve,,,
Makinton Dorleant,OAK,DET,2019-11-03,2019,9,Injured Reserve,,,
Makinton Dorleant,OAK,LAC,2019-11-07,2019,10,Injured Reserve,,,
Makinton Dorleant,OAK,CIN,2019-11-17,2019,11,Injured Reserve,,,
Makinton Dorleant,OAK,NYJ,2019-11-24,2019,12,Injured Reserve,,,
Makinton Dorleant,OAK,KAN,2019-12-01,2019,13,Injured Reserve,,,
Makinton Dorleant,OAK,TEN,2019-12-08,2019,14,Injured Reserve,,,
Makinton Dorleant,OAK,JAX,2019-12-15,2019,15,Injured Reserve,,,
Makinton Dorleant,OAK,LAC,2019-12-22,2019,16,Injured Reserve,,,
Makinton Dorleant,OAK,DEN,2019-12-29,2019,17,Injured Reserve,,,
