Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Rannell Hall,CLE,PHI,2016-09-11,2016,1,Injured Reserve,Leg,,
Rannell Hall,CLE,BAL,2016-09-18,2016,2,Injured Reserve,Leg,,
Rannell Hall,CLE,MIA,2016-09-25,2016,3,Injured Reserve,Leg,,
Rannell Hall,CLE,WAS,2016-10-02,2016,4,Injured Reserve,Leg,,
Rannell Hall,CLE,NWE,2016-10-09,2016,5,Injured Reserve,Leg,,
Rannell Hall,CLE,TEN,2016-10-16,2016,6,Injured Reserve,Leg,,
Rannell Hall,CLE,CIN,2016-10-23,2016,7,Injured Reserve,Leg,,
Rannell Hall,CLE,NYJ,2016-10-30,2016,8,Injured Reserve,Leg,,
Rannell Hall,CLE,DAL,2016-11-06,2016,9,Injured Reserve,Leg,,
Rannell Hall,CLE,BAL,2016-11-10,2016,10,Injured Reserve,Leg,,
Rannell Hall,CLE,PIT,2016-11-20,2016,11,Injured Reserve,Leg,,
Rannell Hall,CLE,NYG,2016-11-27,2016,12,Injured Reserve,Leg,,
Rannell Hall,CLE,CIN,2016-12-11,2016,14,Injured Reserve,Leg,,
Rannell Hall,CLE,BUF,2016-12-18,2016,15,Injured Reserve,Leg,,
Rannell Hall,CLE,SDG,2016-12-24,2016,16,Injured Reserve,Leg,,
Rannell Hall,CLE,PIT,2017-01-01,2016,17,Injured Reserve,Leg,,
