Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Christopher Milton,IND,CLE,2017-09-24,2017,3,Questionable,Hamstring,,
Christopher Milton,IND,SEA,2017-10-01,2017,4,Questionable,Hamstring,,
Christopher Milton,IND,BUF,2017-12-10,2017,14,Questionable,Neck,,
Christopher Milton,IND,WAS,2018-09-16,2018,2,Out,Concussion,,
Christopher Milton,IND,PHI,2018-09-23,2018,3,Questionable,Concussion,,
Christopher Milton,IND,BUF,2018-10-21,2018,7,Questionable,Hamstring,,
Christopher Milton,IND,HOU,2018-12-09,2018,14,Questionable,Hamstring,,
Christopher Milton,TEN,JAX,2019-09-19,2019,3,Out,Collarbone,,
Christopher Milton,TEN,DEN,2019-10-13,2019,6,Questionable,Calf,,
Christopher Milton,TEN,LAC,2019-10-20,2019,7,Out,Calf,,
Christopher Milton,TEN,TAM,2019-10-27,2019,8,Out,Calf,,
Christopher Milton,TEN,CAR,2019-11-03,2019,9,Questionable,Ankle,,
Christopher Milton,TEN,IND,2019-12-01,2019,13,Injured Reserve,,,
Christopher Milton,TEN,OAK,2019-12-08,2019,14,Injured Reserve,,,
Christopher Milton,TEN,HOU,2019-12-15,2019,15,Injured Reserve,,,
Christopher Milton,TEN,NOR,2019-12-22,2019,16,Injured Reserve,,,
Christopher Milton,TEN,HOU,2019-12-29,2019,17,Injured Reserve,,,
