Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Justin Houston,KAN,SDG,2016-09-11,2016,1,Injured Reserve,Knee,,
Justin Houston,KAN,HOU,2016-09-18,2016,2,Injured Reserve,Knee,,
Justin Houston,KAN,NYJ,2016-09-25,2016,3,Injured Reserve,Knee,,
Justin Houston,KAN,PIT,2016-10-02,2016,4,Injured Reserve,Knee,,
Justin Houston,KAN,OAK,2016-10-16,2016,6,Injured Reserve,Knee,,
Justin Houston,KAN,NOR,2016-10-23,2016,7,Injured Reserve,Knee,,
Justin Houston,KAN,IND,2016-10-30,2016,8,Injured Reserve,Knee,,
Justin Houston,KAN,JAX,2016-11-06,2016,9,Injured Reserve,Knee,,
Justin Houston,KAN,CAR,2016-11-13,2016,10,Out,knee,,
Justin Houston,KAN,TAM,2016-11-20,2016,11,Questionable,knee,,
Justin Houston,KAN,ATL,2016-12-04,2016,13,Questionable,shoulder,,
Justin Houston,KAN,TEN,2016-12-18,2016,15,Questionable,knee,,
Justin Houston,KAN,DEN,2016-12-25,2016,16,Questionable,knee,,
Justin Houston,KAN,SDG,2017-01-01,2016,17,Out,knee,,
Justin Houston,KAN,DEN,2017-10-30,2017,8,Questionable,Knee,,
Justin Houston,KAN,DAL,2017-11-05,2017,9,Questionable,Knee,,
Justin Houston,KAN,MIA,2017-12-24,2017,16,Questionable,Illness,,
Justin Houston,KAN,NWE,2018-10-14,2018,6,Doubtful,Hamstring,,
Justin Houston,KAN,CIN,2018-10-21,2018,7,Doubtful,Hamstring,,
Justin Houston,KAN,DEN,2018-10-28,2018,8,Doubtful,Hamstring,,
Justin Houston,KAN,CLE,2018-11-04,2018,9,Questionable,Hamstring,,
Justin Houston,KAN,ARI,2018-11-11,2018,10,Questionable,Hamstring,,
Justin Houston,IND,HOU,2019-10-20,2019,7,Questionable,Calf,,
Justin Houston,IND,PIT,2019-11-03,2019,9,Questionable,Calf,,
Justin Houston,IND,MIN,2020-09-20,2020,2,Questionable,Calf,,
Justin Houston,IND,CIN,2020-10-18,2020,6,Questionable,Hip,,
