Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Earl Thomas,SEA,TAM,2016-11-27,2016,12,Injured Reserve,Leg,,
Earl Thomas,SEA,GNB,2016-12-11,2016,14,Injured Reserve,Leg,,
Earl Thomas,SEA,LAR,2016-12-15,2016,15,Injured Reserve,Leg,,
Earl Thomas,SEA,ARI,2016-12-24,2016,16,Injured Reserve,Leg,,
Earl Thomas,SEA,SFO,2017-01-01,2016,17,Injured Reserve,Leg,,
Earl Thomas,SEA,WAS,2017-11-05,2017,9,Out,Hamstring,,
Earl Thomas,SEA,ARI,2017-11-09,2017,10,Doubtful,Hamstring,,
Earl Thomas,SEA,PHI,2017-12-03,2017,13,Questionable,Heel,,
Earl Thomas,SEA,LAR,2018-10-07,2018,5,Injured Reserve,Holdout,,
Earl Thomas,SEA,OAK,2018-10-14,2018,6,Injured Reserve,Holdout,,
Earl Thomas,SEA,DET,2018-10-28,2018,8,Injured Reserve,Holdout,,
Earl Thomas,SEA,LAC,2018-11-04,2018,9,Injured Reserve,Holdout,,
Earl Thomas,SEA,LAR,2018-11-11,2018,10,Injured Reserve,Holdout,,
Earl Thomas,SEA,GNB,2018-11-15,2018,11,Injured Reserve,Holdout,,
Earl Thomas,SEA,CAR,2018-11-25,2018,12,Injured Reserve,Holdout,,
Earl Thomas,SEA,SFO,2018-12-02,2018,13,Injured Reserve,Holdout,,
Earl Thomas,SEA,MIN,2018-12-10,2018,14,Injured Reserve,Holdout,,
Earl Thomas,SEA,SFO,2018-12-16,2018,15,Injured Reserve,Holdout,,
Earl Thomas,SEA,KAN,2018-12-23,2018,16,Injured Reserve,Holdout,,
Earl Thomas,SEA,ARI,2018-12-30,2018,17,Injured Reserve,Holdout,,
Earl Thomas,BAL,NWE,2019-11-03,2019,9,Questionable,Knee,,
Earl Thomas,BAL,CIN,2019-11-10,2019,10,Questionable,Not Injury Related,,
Earl Thomas,BAL,PIT,2019-12-29,2019,17,Questionable,Knee,,
