Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Alex Okafor,NOR,LAR,2017-11-26,2017,12,Injured Reserve,Achilles,,
Alex Okafor,NOR,CAR,2017-12-03,2017,13,Injured Reserve,Achilles,,
Alex Okafor,NOR,ATL,2017-12-07,2017,14,Injured Reserve,Achilles,,
Alex Okafor,NOR,NYJ,2017-12-17,2017,15,Injured Reserve,Achilles,,
Alex Okafor,NOR,ATL,2017-12-24,2017,16,Injured Reserve,Achilles,,
Alex Okafor,NOR,TAM,2017-12-31,2017,17,Injured Reserve,Achilles,,
Alex Okafor,KAN,IND,2019-10-06,2019,5,Questionable,Hip,,
Alex Okafor,KAN,MIN,2019-11-03,2019,9,Out,Ankle,,
Alex Okafor,KAN,TEN,2019-11-10,2019,10,Out,Ankle,,
Alex Okafor,KAN,LAC,2019-11-18,2019,11,Out,Ankle,,
Alex Okafor,KAN,CHI,2019-12-22,2019,16,Injured Reserve,,,
Alex Okafor,KAN,LAC,2019-12-29,2019,17,Injured Reserve,,,
Alex Okafor,KAN,LAC,2020-09-20,2020,2,Out,Hamstring,,
Alex Okafor,KAN,BAL,2020-09-28,2020,3,Out,Hamstring,,
Alex Okafor,KAN,DEN,2020-10-25,2020,7,Out,Hamstring,,
Alex Okafor,KAN,NYJ,2020-11-01,2020,8,Injured Reserve,,,
Alex Okafor,KAN,CAR,2020-11-08,2020,9,Injured Reserve,,,
Alex Okafor,KAN,LVR,2020-11-22,2020,11,Injured Reserve,,,
