Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dede Westbrook,JAX,HOU,2017-09-10,2017,1,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,TEN,2017-09-17,2017,2,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,BAL,2017-09-24,2017,3,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,NYJ,2017-10-01,2017,4,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,PIT,2017-10-08,2017,5,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,LAR,2017-10-15,2017,6,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,IND,2017-10-22,2017,7,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,CIN,2017-11-05,2017,9,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,LAC,2017-11-12,2017,10,Injured Reserve,Abdomen,,
Dede Westbrook,JAX,CIN,2019-10-20,2019,7,Questionable,Shoulder,,
Dede Westbrook,JAX,NYJ,2019-10-27,2019,8,Questionable,Shoulder,,
Dede Westbrook,JAX,HOU,2019-11-03,2019,9,Questionable,Neck,,
Dede Westbrook,JAX,IND,2019-12-29,2019,17,Questionable,Neck,,
Dede Westbrook,JAX,HOU,2020-11-08,2020,9,Injured Reserve,,,
Dede Westbrook,JAX,GNB,2020-11-15,2020,10,Injured Reserve,,,
Dede Westbrook,JAX,PIT,2020-11-22,2020,11,Injured Reserve,,,
Dede Westbrook,JAX,CLE,2020-11-29,2020,12,Injured Reserve,,,
Dede Westbrook,JAX,MIN,2020-12-06,2020,13,Injured Reserve,,,
Dede Westbrook,JAX,TEN,2020-12-13,2020,14,Injured Reserve,,,
Dede Westbrook,JAX,BAL,2020-12-20,2020,15,Injured Reserve,,,
Dede Westbrook,JAX,CHI,2020-12-27,2020,16,Injured Reserve,,,
Dede Westbrook,JAX,IND,2021-01-03,2020,17,Injured Reserve,,,
