Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Aaron Colvin,JAX,KAN,2016-11-06,2016,9,Questionable,calf,,
Aaron Colvin,JAX,BUF,2016-11-27,2016,12,Questionable,concussion,,
Aaron Colvin,JAX,TEN,2016-12-24,2016,16,Injured Reserve,Ankle,,
Aaron Colvin,JAX,IND,2017-01-01,2016,17,Injured Reserve,Ankle,,
Aaron Colvin,HOU,DAL,2018-10-07,2018,5,Out,Ankle,,
Aaron Colvin,HOU,BUF,2018-10-14,2018,6,Out,Ankle,,
Aaron Colvin,HOU,JAX,2018-10-21,2018,7,Out,Ankle,,
Aaron Colvin,HOU,MIA,2018-10-25,2018,8,Out,Ankle,,
Aaron Colvin,HOU,DEN,2018-11-04,2018,9,Questionable,Ankle,,
Aaron Colvin,HOU,WAS,2018-11-18,2018,11,Questionable,Ankle,,
