Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Frank Clark,SEA,ATL,2016-10-16,2016,6,Questionable,hamstring,,
Frank Clark,SEA,GNB,2017-09-10,2017,1,Questionable,Wrist,,
Frank Clark,SEA,DAL,2017-12-24,2017,16,Questionable,Toe,,
Frank Clark,SEA,LAR,2018-10-07,2018,5,Questionable,Illness,,
Frank Clark,KAN,GNB,2019-10-27,2019,8,Out,Neck,,
Frank Clark,KAN,MIN,2019-11-03,2019,9,Questionable,Neck,,
Frank Clark,KAN,TEN,2019-11-10,2019,10,Questionable,Neck,,
Frank Clark,KAN,NWE,2019-12-08,2019,14,Questionable,Shoulder,,
Frank Clark,KAN,DEN,2019-12-15,2019,15,Questionable,Illness,,
Frank Clark,KAN,CAR,2020-11-08,2020,9,Questionable,Knee,,
Frank Clark,KAN,ATL,2020-12-27,2020,16,Questionable,Illness,,
