Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Patrick Chung,NWE,MIA,2017-11-26,2017,12,Questionable,Ankle,,
Patrick Chung,NWE,DET,2018-09-23,2018,3,Doubtful,Concussion,,
Patrick Chung,NWE,MIA,2018-09-30,2018,4,Questionable,Concussion,,
Patrick Chung,NWE,WAS,2019-10-06,2019,5,Out,Heel,,
Patrick Chung,NWE,NYG,2019-10-10,2019,6,Questionable,Heel,,
Patrick Chung,NWE,NYJ,2019-10-21,2019,7,Questionable,Heel,,
Patrick Chung,NWE,CLE,2019-10-27,2019,8,Questionable,Head,,
Patrick Chung,NWE,BAL,2019-11-03,2019,9,Questionable,Heel,,
Patrick Chung,NWE,PHI,2019-11-17,2019,11,Questionable,Heel,,
Patrick Chung,NWE,DAL,2019-11-24,2019,12,Questionable,Heel,,
Patrick Chung,NWE,HOU,2019-12-01,2019,13,Questionable,Illness,,
Patrick Chung,NWE,KAN,2019-12-08,2019,14,Questionable,Heel,,
Patrick Chung,NWE,MIA,2020-09-13,2020,1,Injured Reserve,,,
Patrick Chung,NWE,SEA,2020-09-20,2020,2,Injured Reserve,,,
Patrick Chung,NWE,LVR,2020-09-27,2020,3,Injured Reserve,,,
Patrick Chung,NWE,KAN,2020-10-05,2020,4,Injured Reserve,,,
Patrick Chung,NWE,DEN,2020-10-18,2020,6,Injured Reserve,,,
Patrick Chung,NWE,SFO,2020-10-25,2020,7,Injured Reserve,,,
Patrick Chung,NWE,BUF,2020-11-01,2020,8,Injured Reserve,,,
Patrick Chung,NWE,NYJ,2020-11-09,2020,9,Injured Reserve,,,
Patrick Chung,NWE,BAL,2020-11-15,2020,10,Injured Reserve,,,
Patrick Chung,NWE,HOU,2020-11-22,2020,11,Injured Reserve,,,
Patrick Chung,NWE,ARI,2020-11-29,2020,12,Injured Reserve,,,
Patrick Chung,NWE,LAC,2020-12-06,2020,13,Injured Reserve,,,
Patrick Chung,NWE,LAR,2020-12-10,2020,14,Injured Reserve,,,
Patrick Chung,NWE,MIA,2020-12-20,2020,15,Injured Reserve,,,
Patrick Chung,NWE,BUF,2020-12-28,2020,16,Injured Reserve,,,
Patrick Chung,NWE,NYJ,2021-01-03,2020,17,Injured Reserve,,,
