Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jerick McKinnon,MIN,TEN,2016-09-11,2016,1,Questionable,foot,,
Jerick McKinnon,MIN,CHI,2016-10-31,2016,8,Out,ankle,,
Jerick McKinnon,MIN,DET,2016-11-06,2016,9,Questionable,ankle,,
Jerick McKinnon,SFO,MIN,2018-09-09,2018,1,Injured Reserve,Knee,,
Jerick McKinnon,SFO,DET,2018-09-16,2018,2,Injured Reserve,Knee,,
Jerick McKinnon,SFO,KAN,2018-09-23,2018,3,Injured Reserve,Knee,,
Jerick McKinnon,SFO,LAC,2018-09-30,2018,4,Injured Reserve,Knee,,
Jerick McKinnon,SFO,ARI,2018-10-07,2018,5,Injured Reserve,Knee,,
Jerick McKinnon,SFO,GNB,2018-10-15,2018,6,Injured Reserve,Knee,,
Jerick McKinnon,SFO,LAR,2018-10-21,2018,7,Injured Reserve,Knee,,
Jerick McKinnon,SFO,ARI,2018-10-28,2018,8,Injured Reserve,Knee,,
Jerick McKinnon,SFO,OAK,2018-11-01,2018,9,Injured Reserve,Knee,,
Jerick McKinnon,SFO,NYG,2018-11-12,2018,10,Injured Reserve,Knee,,
Jerick McKinnon,SFO,TAM,2018-11-25,2018,12,Injured Reserve,Knee,,
Jerick McKinnon,SFO,SEA,2018-12-02,2018,13,Injured Reserve,Knee,,
Jerick McKinnon,SFO,DEN,2018-12-09,2018,14,Injured Reserve,Knee,,
Jerick McKinnon,SFO,SEA,2018-12-16,2018,15,Injured Reserve,Knee,,
Jerick McKinnon,SFO,CHI,2018-12-23,2018,16,Injured Reserve,Knee,,
Jerick McKinnon,SFO,LAR,2018-12-30,2018,17,Injured Reserve,Knee,,
Jerick McKinnon,SFO,TAM,2019-09-08,2019,1,Injured Reserve,,,
Jerick McKinnon,SFO,CIN,2019-09-15,2019,2,Injured Reserve,,,
Jerick McKinnon,SFO,PIT,2019-09-22,2019,3,Injured Reserve,,,
Jerick McKinnon,SFO,CLE,2019-10-07,2019,5,Injured Reserve,,,
Jerick McKinnon,SFO,LAR,2019-10-13,2019,6,Injured Reserve,,,
Jerick McKinnon,SFO,WAS,2019-10-20,2019,7,Injured Reserve,,,
Jerick McKinnon,SFO,CAR,2019-10-27,2019,8,Injured Reserve,,,
Jerick McKinnon,SFO,ARI,2019-10-31,2019,9,Injured Reserve,,,
Jerick McKinnon,SFO,SEA,2019-11-11,2019,10,Injured Reserve,,,
Jerick McKinnon,SFO,ARI,2019-11-17,2019,11,Injured Reserve,,,
Jerick McKinnon,SFO,GNB,2019-11-24,2019,12,Injured Reserve,,,
Jerick McKinnon,SFO,BAL,2019-12-01,2019,13,Injured Reserve,,,
Jerick McKinnon,SFO,NOR,2019-12-08,2019,14,Injured Reserve,,,
Jerick McKinnon,SFO,ATL,2019-12-15,2019,15,Injured Reserve,,,
Jerick McKinnon,SFO,LAR,2019-12-21,2019,16,Injured Reserve,,,
Jerick McKinnon,SFO,SEA,2019-12-29,2019,17,Injured Reserve,,,
