Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
George Obinna,CLE,BAL,2020-09-13,2020,1,Injured Reserve,,,
George Obinna,CLE,CIN,2020-09-17,2020,2,Injured Reserve,,,
George Obinna,CLE,WAS,2020-09-27,2020,3,Injured Reserve,,,
George Obinna,CLE,DAL,2020-10-04,2020,4,Injured Reserve,,,
George Obinna,CLE,IND,2020-10-11,2020,5,Injured Reserve,,,
George Obinna,CLE,PIT,2020-10-18,2020,6,Injured Reserve,,,
George Obinna,CLE,CIN,2020-10-25,2020,7,Injured Reserve,,,
George Obinna,CLE,LVR,2020-11-01,2020,8,Injured Reserve,,,
George Obinna,CLE,HOU,2020-11-15,2020,10,Injured Reserve,,,
George Obinna,CLE,PHI,2020-11-22,2020,11,Injured Reserve,,,
George Obinna,CLE,JAX,2020-11-29,2020,12,Injured Reserve,,,
George Obinna,CLE,TEN,2020-12-06,2020,13,Injured Reserve,,,
George Obinna,CLE,BAL,2020-12-14,2020,14,Injured Reserve,,,
George Obinna,CLE,NYG,2020-12-20,2020,15,Injured Reserve,,,
George Obinna,CLE,NYJ,2020-12-27,2020,16,Injured Reserve,,,
George Obinna,CLE,PIT,2021-01-03,2020,17,Injured Reserve,,,
