Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marcus Cannon,NWE,MIA,2016-09-18,2016,2,Questionable,knee,,
Marcus Cannon,NWE,BUF,2016-10-02,2016,4,Questionable,calf,,
Marcus Cannon,NWE,CLE,2016-10-09,2016,5,Questionable,calf,,
Marcus Cannon,NWE,CIN,2016-10-16,2016,6,Questionable,calf,,
Marcus Cannon,NWE,NOR,2017-09-17,2017,2,Questionable,Ankle,,
Marcus Cannon,NWE,HOU,2017-09-24,2017,3,Questionable,Ankle,,
Marcus Cannon,NWE,CAR,2017-10-01,2017,4,Questionable,Ankle,,
Marcus Cannon,NWE,TAM,2017-10-05,2017,5,Questionable,Ankle,,
Marcus Cannon,NWE,LAC,2017-10-29,2017,8,Questionable,Ankle,,
Marcus Cannon,NWE,DEN,2017-11-12,2017,10,Injured Reserve,Ankle,,
Marcus Cannon,NWE,OAK,2017-11-19,2017,11,Injured Reserve,Ankle,,
Marcus Cannon,NWE,MIA,2017-11-26,2017,12,Injured Reserve,Ankle,,
Marcus Cannon,NWE,BUF,2017-12-03,2017,13,Injured Reserve,Ankle,,
Marcus Cannon,NWE,MIA,2017-12-11,2017,14,Injured Reserve,Ankle,,
Marcus Cannon,NWE,PIT,2017-12-17,2017,15,Injured Reserve,Ankle,,
Marcus Cannon,NWE,BUF,2017-12-24,2017,16,Injured Reserve,Ankle,,
Marcus Cannon,NWE,NYJ,2017-12-31,2017,17,Injured Reserve,Ankle,,
Marcus Cannon,NWE,HOU,2018-09-09,2018,1,Questionable,Calf,,
Marcus Cannon,NWE,JAX,2018-09-16,2018,2,Questionable,Calf,,
Marcus Cannon,NWE,DET,2018-09-23,2018,3,Questionable,Calf,,
Marcus Cannon,NWE,MIA,2018-09-30,2018,4,Questionable,Calf,,
Marcus Cannon,NWE,CHI,2018-10-21,2018,7,Out,Concussion,,
Marcus Cannon,NWE,BUF,2018-10-29,2018,8,Questionable,Concussion,,
Marcus Cannon,NWE,GNB,2018-11-04,2018,9,Questionable,Concussion,,
Marcus Cannon,NWE,MIA,2019-09-15,2019,2,Questionable,Shoulder,,
Marcus Cannon,NWE,NYJ,2019-09-22,2019,3,Questionable,Shoulder,,
Marcus Cannon,NWE,DAL,2019-11-24,2019,12,Questionable,Illness,,
Marcus Cannon,NWE,HOU,2019-12-01,2019,13,Questionable,Illness,,
Marcus Cannon,NWE,KAN,2019-12-08,2019,14,Questionable,Illness,,
Marcus Cannon,NWE,MIA,2019-12-29,2019,17,Questionable,Ankle,,
Marcus Cannon,NWE,MIA,2020-09-13,2020,1,Injured Reserve,,,
Marcus Cannon,NWE,SEA,2020-09-20,2020,2,Injured Reserve,,,
Marcus Cannon,NWE,LVR,2020-09-27,2020,3,Injured Reserve,,,
Marcus Cannon,NWE,KAN,2020-10-05,2020,4,Injured Reserve,,,
Marcus Cannon,NWE,DEN,2020-10-18,2020,6,Injured Reserve,,,
Marcus Cannon,NWE,SFO,2020-10-25,2020,7,Injured Reserve,,,
Marcus Cannon,NWE,BUF,2020-11-01,2020,8,Injured Reserve,,,
Marcus Cannon,NWE,NYJ,2020-11-09,2020,9,Injured Reserve,,,
Marcus Cannon,NWE,BAL,2020-11-15,2020,10,Injured Reserve,,,
Marcus Cannon,NWE,HOU,2020-11-22,2020,11,Injured Reserve,,,
Marcus Cannon,NWE,ARI,2020-11-29,2020,12,Injured Reserve,,,
Marcus Cannon,NWE,LAC,2020-12-06,2020,13,Injured Reserve,,,
Marcus Cannon,NWE,LAR,2020-12-10,2020,14,Injured Reserve,,,
Marcus Cannon,NWE,MIA,2020-12-20,2020,15,Injured Reserve,,,
Marcus Cannon,NWE,BUF,2020-12-28,2020,16,Injured Reserve,,,
Marcus Cannon,NWE,NYJ,2021-01-03,2020,17,Injured Reserve,,,
