Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tyrell Williams,LAC,DEN,2016-10-30,2016,8,Questionable,knee,,
Tyrell Williams,LAC,TEN,2016-11-06,2016,9,Questionable,knee,,
Tyrell Williams,LAC,MIA,2016-11-13,2016,10,Questionable,knee,,
Tyrell Williams,LAC,TAM,2016-12-04,2016,13,Questionable,shoulder,,
Tyrell Williams,LAC,NYG,2017-10-08,2017,5,Questionable,Neck,,
Tyrell Williams,LAC,ARI,2018-11-25,2018,12,Questionable,Quadricep,,
Tyrell Williams,LAC,PIT,2018-12-02,2018,13,Questionable,Quadricep,,
Tyrell Williams,OAK,CHI,2019-10-06,2019,5,Questionable,Foot,,
Tyrell Williams,OAK,GNB,2019-10-20,2019,7,Out,Foot,,
Tyrell Williams,OAK,HOU,2019-10-27,2019,8,Questionable,Foot,,
Tyrell Williams,OAK,CAR,2020-09-13,2020,1,Injured Reserve,,,
Tyrell Williams,OAK,NOR,2020-09-21,2020,2,Injured Reserve,,,
Tyrell Williams,OAK,NWE,2020-09-27,2020,3,Injured Reserve,,,
Tyrell Williams,OAK,BUF,2020-10-04,2020,4,Injured Reserve,,,
Tyrell Williams,OAK,KAN,2020-10-11,2020,5,Injured Reserve,,,
Tyrell Williams,OAK,TAM,2020-10-25,2020,7,Injured Reserve,,,
Tyrell Williams,OAK,CLE,2020-11-01,2020,8,Injured Reserve,,,
Tyrell Williams,OAK,LAC,2020-11-08,2020,9,Injured Reserve,,,
Tyrell Williams,OAK,DEN,2020-11-15,2020,10,Injured Reserve,,,
Tyrell Williams,OAK,KAN,2020-11-22,2020,11,Injured Reserve,,,
Tyrell Williams,OAK,ATL,2020-11-29,2020,12,Injured Reserve,,,
Tyrell Williams,OAK,NYJ,2020-12-06,2020,13,Injured Reserve,,,
Tyrell Williams,OAK,IND,2020-12-13,2020,14,Injured Reserve,,,
Tyrell Williams,OAK,LAC,2020-12-17,2020,15,Injured Reserve,,,
Tyrell Williams,OAK,MIA,2020-12-26,2020,16,Injured Reserve,,,
Tyrell Williams,OAK,DEN,2021-01-03,2020,17,Injured Reserve,,,
