Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jeremy Vujnovich,ARI,DEN,2018-10-18,2018,7,Out,Hamstring,,
Jeremy Vujnovich,ARI,SFO,2018-10-28,2018,8,Out,Hamstring,,
Jeremy Vujnovich,ARI,KAN,2018-11-11,2018,10,Questionable,Hamstring,,
Jeremy Vujnovich,ARI,GNB,2018-12-02,2018,13,Injured Reserve,Hamstring,,
Jeremy Vujnovich,ARI,DET,2018-12-09,2018,14,Injured Reserve,Hamstring,,
Jeremy Vujnovich,ARI,ATL,2018-12-16,2018,15,Injured Reserve,Hamstring,,
Jeremy Vujnovich,ARI,LAR,2018-12-23,2018,16,Injured Reserve,Hamstring,,
Jeremy Vujnovich,ARI,SEA,2018-12-30,2018,17,Injured Reserve,Hamstring,,
Jeremy Vujnovich,IND,CIN,2018-09-09,2018,1,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,WAS,2018-09-16,2018,2,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,HOU,2018-09-30,2018,4,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,NWE,2018-10-04,2018,5,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,BUF,2018-10-21,2018,7,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,OAK,2018-10-28,2018,8,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,JAX,2018-12-02,2018,13,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,HOU,2018-12-09,2018,14,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,DAL,2018-12-16,2018,15,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,NYG,2018-12-23,2018,16,Injured Reserve,Calf,,
Jeremy Vujnovich,IND,TEN,2018-12-30,2018,17,Injured Reserve,Calf,,
