Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Julien Obioha,NYJ,CIN,2016-09-11,2016,1,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,BUF,2016-09-15,2016,2,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,KAN,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,SEA,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,PIT,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,ARI,2016-10-17,2016,6,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,BAL,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,CLE,2016-10-30,2016,8,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,MIA,2016-11-06,2016,9,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,LAR,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,NWE,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,IND,2016-12-05,2016,13,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,SFO,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,MIA,2016-12-17,2016,15,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,NWE,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Julien Obioha,NYJ,BUF,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
