Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Charles Clay,BUF,NYJ,2016-09-15,2016,2,Questionable,knee,,
Charles Clay,BUF,ARI,2016-09-25,2016,3,Questionable,knee,,
Charles Clay,BUF,NWE,2016-10-02,2016,4,Questionable,knee,,
Charles Clay,BUF,LAR,2016-10-09,2016,5,Questionable,knee,,
Charles Clay,BUF,SFO,2016-10-16,2016,6,Questionable,knee,,
Charles Clay,BUF,MIA,2016-10-23,2016,7,Questionable,ankle,,
Charles Clay,BUF,NWE,2016-10-30,2016,8,Questionable,knee,,
Charles Clay,BUF,SEA,2016-11-07,2016,9,Questionable,knee,,
Charles Clay,BUF,JAX,2016-11-27,2016,12,Questionable,knee,,
Charles Clay,BUF,OAK,2016-12-04,2016,13,Questionable,knee,,
Charles Clay,BUF,PIT,2016-12-11,2016,14,Questionable,knee,,
Charles Clay,BUF,CLE,2016-12-18,2016,15,Questionable,knee,,
Charles Clay,BUF,MIA,2016-12-24,2016,16,Questionable,knee,,
Charles Clay,BUF,NYJ,2017-01-01,2016,17,Questionable,knee,,
Charles Clay,BUF,TAM,2017-10-22,2017,7,Out,Knee,,
Charles Clay,BUF,OAK,2017-10-29,2017,8,Out,Knee,,
Charles Clay,BUF,NYJ,2017-11-02,2017,9,Out,Knee,,
Charles Clay,BUF,NOR,2017-11-12,2017,10,Questionable,Knee,,
Charles Clay,BUF,LAC,2017-11-19,2017,11,Questionable,Knee,,
Charles Clay,BUF,KAN,2017-11-26,2017,12,Questionable,Knee,,
Charles Clay,BUF,NWE,2017-12-03,2017,13,Questionable,Knee,,
Charles Clay,BUF,GNB,2018-09-30,2018,4,Questionable,Shoulder,,
Charles Clay,BUF,TEN,2018-10-07,2018,5,Questionable,Ankle,,
Charles Clay,BUF,NYJ,2018-11-11,2018,10,Out,Hamstring,,
Charles Clay,BUF,JAX,2018-11-25,2018,12,Doubtful,Hamstring,,
Charles Clay,BUF,MIA,2018-12-02,2018,13,Questionable,Hamstring,,
Charles Clay,ARI,LAR,2019-12-29,2019,17,Questionable,Calf,,
