Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kevin Dodd,TEN,JAX,2016-10-27,2016,8,Questionable,foot,,
Kevin Dodd,TEN,DEN,2016-12-11,2016,14,Injured Reserve,Foot,,
Kevin Dodd,TEN,KAN,2016-12-18,2016,15,Injured Reserve,Foot,,
Kevin Dodd,TEN,JAX,2016-12-24,2016,16,Injured Reserve,Foot,,
Kevin Dodd,TEN,HOU,2017-01-01,2016,17,Injured Reserve,Foot,,
Kevin Dodd,TEN,MIA,2018-09-09,2018,1,Injured Reserve,Personal,,
Kevin Dodd,TEN,HOU,2018-09-16,2018,2,Injured Reserve,Personal,,
Kevin Dodd,TEN,JAX,2018-09-23,2018,3,Injured Reserve,Personal,,
Kevin Dodd,TEN,PHI,2018-09-30,2018,4,Injured Reserve,Personal,,
Kevin Dodd,TEN,BUF,2018-10-07,2018,5,Injured Reserve,Personal,,
Kevin Dodd,TEN,BAL,2018-10-14,2018,6,Injured Reserve,Personal,,
Kevin Dodd,TEN,LAC,2018-10-21,2018,7,Injured Reserve,Personal,,
Kevin Dodd,TEN,DAL,2018-11-05,2018,9,Injured Reserve,Personal,,
Kevin Dodd,TEN,NWE,2018-11-11,2018,10,Injured Reserve,Personal,,
Kevin Dodd,TEN,IND,2018-11-18,2018,11,Injured Reserve,Personal,,
Kevin Dodd,TEN,HOU,2018-11-26,2018,12,Injured Reserve,Personal,,
Kevin Dodd,TEN,NYJ,2018-12-02,2018,13,Injured Reserve,Personal,,
Kevin Dodd,TEN,JAX,2018-12-06,2018,14,Injured Reserve,Personal,,
Kevin Dodd,TEN,NYG,2018-12-16,2018,15,Injured Reserve,Personal,,
Kevin Dodd,TEN,WAS,2018-12-22,2018,16,Injured Reserve,Personal,,
Kevin Dodd,TEN,IND,2018-12-30,2018,17,Injured Reserve,Personal,,
