Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Markus Golden,ARI,MIA,2016-12-11,2016,14,Questionable,hamstring,,
Markus Golden,ARI,PHI,2017-10-08,2017,5,Injured Reserve,Knee,,
Markus Golden,ARI,TAM,2017-10-15,2017,6,Injured Reserve,Knee,,
Markus Golden,ARI,LAR,2017-10-22,2017,7,Injured Reserve,Knee,,
Markus Golden,ARI,SFO,2017-11-05,2017,9,Injured Reserve,Knee,,
Markus Golden,ARI,SEA,2017-11-09,2017,10,Injured Reserve,Knee,,
Markus Golden,ARI,HOU,2017-11-19,2017,11,Injured Reserve,Knee,,
Markus Golden,ARI,JAX,2017-11-26,2017,12,Injured Reserve,Knee,,
Markus Golden,ARI,LAR,2017-12-03,2017,13,Injured Reserve,Knee,,
Markus Golden,ARI,TEN,2017-12-10,2017,14,Injured Reserve,Knee,,
Markus Golden,ARI,WAS,2017-12-17,2017,15,Injured Reserve,Knee,,
Markus Golden,ARI,NYG,2017-12-24,2017,16,Injured Reserve,Knee,,
Markus Golden,ARI,SEA,2017-12-31,2017,17,Injured Reserve,Knee,,
Markus Golden,ARI,WAS,2018-09-09,2018,1,Out,Knee,,
Markus Golden,ARI,LAR,2018-09-16,2018,2,Questionable,Knee,,
Markus Golden,ARI,CHI,2018-09-23,2018,3,Questionable,Knee,,
Markus Golden,ARI,SFO,2018-10-07,2018,5,Questionable,Knee,,
Markus Golden,ARI,MIN,2018-10-14,2018,6,Questionable,Knee,,
Markus Golden,ARI,LAR,2018-12-23,2018,16,Questionable,Ankle,,
Markus Golden,ARI,SEA,2018-12-30,2018,17,Questionable,Ankle,,
