Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
C.J. Uzomah,CIN,BUF,2016-11-20,2016,11,Doubtful,calf,,
C.J. Uzomah,CIN,BAL,2016-11-27,2016,12,Doubtful,calf,,
C.J. Uzomah,CIN,PHI,2016-12-04,2016,13,Doubtful,calf,,
C.J. Uzomah,CIN,CLE,2016-12-11,2016,14,Out,calf,,
C.J. Uzomah,CIN,PIT,2016-12-18,2016,15,Questionable,calf,,
C.J. Uzomah,CIN,BAL,2017-09-10,2017,1,Out,Ankle,,
C.J. Uzomah,CIN,HOU,2017-09-14,2017,2,Questionable,Ankle,,
C.J. Uzomah,CIN,CLE,2020-09-17,2020,2,Injured Reserve,,,
C.J. Uzomah,CIN,PHI,2020-09-27,2020,3,Injured Reserve,,,
C.J. Uzomah,CIN,JAX,2020-10-04,2020,4,Injured Reserve,,,
C.J. Uzomah,CIN,BAL,2020-10-11,2020,5,Injured Reserve,,,
C.J. Uzomah,CIN,IND,2020-10-18,2020,6,Injured Reserve,,,
C.J. Uzomah,CIN,CLE,2020-10-25,2020,7,Injured Reserve,,,
C.J. Uzomah,CIN,TEN,2020-11-01,2020,8,Injured Reserve,,,
C.J. Uzomah,CIN,PIT,2020-11-15,2020,10,Injured Reserve,,,
C.J. Uzomah,CIN,WAS,2020-11-22,2020,11,Injured Reserve,,,
C.J. Uzomah,CIN,NYG,2020-11-29,2020,12,Injured Reserve,,,
C.J. Uzomah,CIN,MIA,2020-12-06,2020,13,Injured Reserve,,,
C.J. Uzomah,CIN,DAL,2020-12-13,2020,14,Injured Reserve,,,
C.J. Uzomah,CIN,PIT,2020-12-21,2020,15,Injured Reserve,,,
C.J. Uzomah,CIN,HOU,2020-12-27,2020,16,Injured Reserve,,,
C.J. Uzomah,CIN,BAL,2021-01-03,2020,17,Injured Reserve,,,
