Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Anthony Brown,DAL,PHI,2017-01-01,2016,17,Questionable,concussion,,
Anthony Brown,DAL,GNB,2017-10-08,2017,5,Questionable,Ankle,,
Anthony Brown,DAL,TAM,2018-12-23,2018,16,Questionable,Hand,,
Anthony Brown,DAL,NYG,2018-12-30,2018,17,Questionable,Back,,
Anthony Brown,DAL,PHI,2019-10-20,2019,7,Out,Hamstring,,
Anthony Brown,DAL,NYG,2019-11-04,2019,9,Questionable,Hamstring,,
Anthony Brown,DAL,NWE,2019-11-24,2019,12,Injured Reserve,,,
Anthony Brown,DAL,BUF,2019-11-28,2019,13,Injured Reserve,,,
Anthony Brown,DAL,CHI,2019-12-05,2019,14,Injured Reserve,,,
Anthony Brown,DAL,LAR,2019-12-15,2019,15,Injured Reserve,,,
Anthony Brown,DAL,PHI,2019-12-22,2019,16,Injured Reserve,,,
Anthony Brown,DAL,WAS,2019-12-29,2019,17,Injured Reserve,,,
Anthony Brown,DAL,ATL,2020-09-20,2020,2,Questionable,Ribs,,
Anthony Brown,DAL,SEA,2020-09-27,2020,3,Injured Reserve,,,
Anthony Brown,DAL,CLE,2020-10-04,2020,4,Injured Reserve,,,
Anthony Brown,DAL,NYG,2020-10-11,2020,5,Injured Reserve,,,
Anthony Brown,DAL,WAS,2020-11-26,2020,12,Questionable,Ribs,,
Anthony Brown,DAL,BAL,2020-12-08,2020,13,Questionable,Ribs,,
Anthony Brown,DAL,CIN,2020-12-13,2020,14,Questionable,Ribs,,
