Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nick Martin,HOU,CHI,2016-09-11,2016,1,Injured Reserve,Ankle,,
Nick Martin,HOU,KAN,2016-09-18,2016,2,Injured Reserve,Ankle,,
Nick Martin,HOU,NWE,2016-09-22,2016,3,Injured Reserve,Ankle,,
Nick Martin,HOU,TEN,2016-10-02,2016,4,Injured Reserve,Ankle,,
Nick Martin,HOU,MIN,2016-10-09,2016,5,Injured Reserve,Ankle,,
Nick Martin,HOU,IND,2016-10-16,2016,6,Injured Reserve,Ankle,,
Nick Martin,HOU,DEN,2016-10-24,2016,7,Injured Reserve,Ankle,,
Nick Martin,HOU,DET,2016-10-30,2016,8,Injured Reserve,Ankle,,
Nick Martin,HOU,JAX,2016-11-13,2016,10,Injured Reserve,Ankle,,
Nick Martin,HOU,OAK,2016-11-21,2016,11,Injured Reserve,Ankle,,
Nick Martin,HOU,SDG,2016-11-27,2016,12,Injured Reserve,Ankle,,
Nick Martin,HOU,GNB,2016-12-04,2016,13,Injured Reserve,Ankle,,
Nick Martin,HOU,IND,2016-12-11,2016,14,Injured Reserve,Ankle,,
Nick Martin,HOU,JAX,2016-12-18,2016,15,Injured Reserve,Ankle,,
Nick Martin,HOU,CIN,2016-12-24,2016,16,Injured Reserve,Ankle,,
Nick Martin,HOU,TEN,2017-01-01,2016,17,Injured Reserve,Ankle,,
Nick Martin,HOU,PIT,2017-12-25,2017,16,Injured Reserve,Ankle,,
Nick Martin,HOU,IND,2017-12-31,2017,17,Injured Reserve,Ankle,,
