Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jonathan Stewart,CAR,SFO,2016-09-18,2016,2,Questionable,ankle,,
Jonathan Stewart,CAR,MIN,2016-09-25,2016,3,Out,hamstring,,
Jonathan Stewart,CAR,ATL,2016-10-02,2016,4,Out,hamstring,,
Jonathan Stewart,CAR,TAM,2016-10-10,2016,5,Out,hamstring,,
Jonathan Stewart,CAR,NOR,2016-10-16,2016,6,Questionable,hamstring,,
Jonathan Stewart,CAR,ARI,2016-10-30,2016,8,day-to-day,hamstring,,
Jonathan Stewart,CAR,LAR,2016-11-06,2016,9,day-to-day,hamstring,,
Jonathan Stewart,CAR,KAN,2016-11-13,2016,10,day-to-day,hamstring,,
Jonathan Stewart,CAR,NOR,2016-11-17,2016,11,day-to-day,hamstring,,
Jonathan Stewart,CAR,OAK,2016-11-27,2016,12,day-to-day,hamstring,,
Jonathan Stewart,CAR,SEA,2016-12-04,2016,13,day-to-day,hamstring,,
Jonathan Stewart,CAR,SDG,2016-12-11,2016,14,day-to-day,hamstring,,
Jonathan Stewart,CAR,WAS,2016-12-19,2016,15,day-to-day,hamstring,,
Jonathan Stewart,CAR,ATL,2016-12-24,2016,16,day-to-day,hamstring,,
Jonathan Stewart,CAR,TAM,2017-01-01,2016,17,Questionable,foot,,
Jonathan Stewart,NYG,NOR,2018-09-30,2018,4,Injured Reserve,Foot,,
Jonathan Stewart,NYG,CAR,2018-10-07,2018,5,Injured Reserve,Foot,,
Jonathan Stewart,NYG,PHI,2018-10-11,2018,6,Injured Reserve,Foot,,
Jonathan Stewart,NYG,ATL,2018-10-22,2018,7,Injured Reserve,Foot,,
Jonathan Stewart,NYG,WAS,2018-10-28,2018,8,Injured Reserve,Foot,,
Jonathan Stewart,NYG,SFO,2018-11-12,2018,10,Injured Reserve,Foot,,
Jonathan Stewart,NYG,TAM,2018-11-18,2018,11,Injured Reserve,Foot,,
Jonathan Stewart,NYG,PHI,2018-11-25,2018,12,Injured Reserve,Foot,,
Jonathan Stewart,NYG,CHI,2018-12-02,2018,13,Injured Reserve,Foot,,
Jonathan Stewart,NYG,WAS,2018-12-09,2018,14,Injured Reserve,Foot,,
Jonathan Stewart,NYG,TEN,2018-12-16,2018,15,Injured Reserve,Foot,,
Jonathan Stewart,NYG,IND,2018-12-23,2018,16,Injured Reserve,Foot,,
Jonathan Stewart,NYG,DAL,2018-12-30,2018,17,Injured Reserve,Foot,,
