Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Montravius Adams,GNB,SEA,2017-09-10,2017,1,Injured Reserve,Foot,,
Montravius Adams,GNB,ATL,2017-09-17,2017,2,Questionable,Foot,,
Montravius Adams,GNB,CHI,2017-09-28,2017,4,Injured Reserve,Foot,,
Montravius Adams,GNB,DAL,2017-10-08,2017,5,Injured Reserve,Foot,,
Montravius Adams,GNB,MIN,2017-10-15,2017,6,Injured Reserve,Foot,,
Montravius Adams,GNB,NOR,2017-10-22,2017,7,Injured Reserve,Foot,,
Montravius Adams,GNB,BAL,2017-11-19,2017,11,Injured Reserve,Foot,,
Montravius Adams,GNB,TAM,2017-12-03,2017,13,Injured Reserve,Foot,,
Montravius Adams,GNB,CAR,2017-12-17,2017,15,Injured Reserve,Foot,,
Montravius Adams,GNB,DEN,2019-09-22,2019,3,Doubtful,Shoulder,,
Montravius Adams,GNB,PHI,2019-09-26,2019,4,Out,Shoulder,,
Montravius Adams,GNB,DAL,2019-10-06,2019,5,Questionable,Shoulder,,
Montravius Adams,GNB,MIN,2020-09-13,2020,1,Doubtful,Toe,,
Montravius Adams,GNB,DET,2020-09-20,2020,2,Questionable,Toe,,
Montravius Adams,GNB,TAM,2020-10-18,2020,6,Questionable,Neck,,
Montravius Adams,GNB,HOU,2020-10-25,2020,7,Questionable,Foot,,
Montravius Adams,GNB,IND,2020-11-22,2020,11,Doubtful,Toe,,
Montravius Adams,GNB,CHI,2020-11-29,2020,12,Injured Reserve,,,
Montravius Adams,GNB,PHI,2020-12-06,2020,13,Injured Reserve,,,
Montravius Adams,GNB,DET,2020-12-13,2020,14,Injured Reserve,,,
Montravius Adams,GNB,CAR,2020-12-19,2020,15,Injured Reserve,,,
Montravius Adams,GNB,TEN,2020-12-27,2020,16,Injured Reserve,,,
Montravius Adams,GNB,CHI,2021-01-03,2020,17,Injured Reserve,,,
