Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Willie Young,CHI,DAL,2016-09-25,2016,3,Questionable,knee,,
Willie Young,CHI,DET,2016-10-02,2016,4,Questionable,knee,,
Willie Young,CHI,IND,2016-10-09,2016,5,Questionable,knee,,
Willie Young,CHI,JAX,2016-10-16,2016,6,Questionable,"knee, elbow",,
Willie Young,CHI,NYG,2016-11-20,2016,11,Questionable,ankle,,
Willie Young,CHI,SFO,2016-12-04,2016,13,Questionable,knee,,
Willie Young,CHI,WAS,2016-12-24,2016,16,Questionable,knee,,
Willie Young,CHI,MIN,2017-01-01,2016,17,Questionable,knee,,
Willie Young,CHI,MIN,2017-10-09,2017,5,Injured Reserve,Tricep,,
Willie Young,CHI,BAL,2017-10-15,2017,6,Injured Reserve,Tricep,,
Willie Young,CHI,CAR,2017-10-22,2017,7,Injured Reserve,Tricep,,
Willie Young,CHI,NOR,2017-10-29,2017,8,Injured Reserve,Tricep,,
Willie Young,CHI,GNB,2017-11-12,2017,10,Injured Reserve,Tricep,,
Willie Young,CHI,DET,2017-11-19,2017,11,Injured Reserve,Tricep,,
Willie Young,CHI,PHI,2017-11-26,2017,12,Injured Reserve,Tricep,,
Willie Young,CHI,SFO,2017-12-03,2017,13,Injured Reserve,Tricep,,
Willie Young,CHI,CIN,2017-12-10,2017,14,Injured Reserve,Tricep,,
Willie Young,CHI,DET,2017-12-16,2017,15,Injured Reserve,Tricep,,
Willie Young,CHI,CLE,2017-12-24,2017,16,Injured Reserve,Tricep,,
Willie Young,CHI,MIN,2017-12-31,2017,17,Injured Reserve,Tricep,,
