Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andre Dillard,PHI,WAS,2020-09-13,2020,1,Injured Reserve,,,
Andre Dillard,PHI,LAR,2020-09-20,2020,2,Injured Reserve,,,
Andre Dillard,PHI,CIN,2020-09-27,2020,3,Injured Reserve,,,
Andre Dillard,PHI,SFO,2020-10-04,2020,4,Injured Reserve,,,
Andre Dillard,PHI,PIT,2020-10-11,2020,5,Injured Reserve,,,
Andre Dillard,PHI,BAL,2020-10-18,2020,6,Injured Reserve,,,
Andre Dillard,PHI,NYG,2020-10-22,2020,7,Injured Reserve,,,
Andre Dillard,PHI,DAL,2020-11-01,2020,8,Injured Reserve,,,
Andre Dillard,PHI,NYG,2020-11-15,2020,10,Injured Reserve,,,
Andre Dillard,PHI,CLE,2020-11-22,2020,11,Injured Reserve,,,
Andre Dillard,PHI,SEA,2020-11-30,2020,12,Injured Reserve,,,
Andre Dillard,PHI,GNB,2020-12-06,2020,13,Injured Reserve,,,
Andre Dillard,PHI,NOR,2020-12-13,2020,14,Injured Reserve,,,
Andre Dillard,PHI,ARI,2020-12-20,2020,15,Injured Reserve,,,
Andre Dillard,PHI,DAL,2020-12-27,2020,16,Injured Reserve,,,
Andre Dillard,PHI,WAS,2021-01-03,2020,17,Injured Reserve,,,
