Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Chris Lindstrom,ATL,PHI,2019-09-15,2019,2,Injured Reserve,,,
Chris Lindstrom,ATL,IND,2019-09-22,2019,3,Injured Reserve,,,
Chris Lindstrom,ATL,TEN,2019-09-29,2019,4,Injured Reserve,,,
Chris Lindstrom,ATL,HOU,2019-10-06,2019,5,Injured Reserve,,,
Chris Lindstrom,ATL,ARI,2019-10-13,2019,6,Injured Reserve,,,
Chris Lindstrom,ATL,LAR,2019-10-20,2019,7,Injured Reserve,,,
Chris Lindstrom,ATL,SEA,2019-10-27,2019,8,Injured Reserve,,,
Chris Lindstrom,ATL,NOR,2019-11-10,2019,10,Injured Reserve,,,
Chris Lindstrom,ATL,CAR,2019-11-17,2019,11,Injured Reserve,,,
Chris Lindstrom,ATL,TAM,2019-11-24,2019,12,Injured Reserve,,,
Chris Lindstrom,ATL,NOR,2019-11-28,2019,13,Injured Reserve,,,
Chris Lindstrom,ATL,CAR,2019-12-08,2019,14,Injured Reserve,,,
