Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lavon Hooks,PIT,NWE,2019-09-08,2019,1,Injured Reserve,,,
Lavon Hooks,PIT,SEA,2019-09-15,2019,2,Injured Reserve,,,
Lavon Hooks,PIT,SFO,2019-09-22,2019,3,Injured Reserve,,,
Lavon Hooks,PIT,CIN,2019-09-30,2019,4,Injured Reserve,,,
Lavon Hooks,PIT,BAL,2019-10-06,2019,5,Injured Reserve,,,
Lavon Hooks,PIT,LAC,2019-10-13,2019,6,Injured Reserve,,,
Lavon Hooks,PIT,MIA,2019-10-28,2019,8,Injured Reserve,,,
Lavon Hooks,PIT,IND,2019-11-03,2019,9,Injured Reserve,,,
Lavon Hooks,PIT,LAR,2019-11-10,2019,10,Injured Reserve,,,
Lavon Hooks,PIT,CLE,2019-11-14,2019,11,Injured Reserve,,,
Lavon Hooks,PIT,CIN,2019-11-24,2019,12,Injured Reserve,,,
Lavon Hooks,PIT,CLE,2019-12-01,2019,13,Injured Reserve,,,
Lavon Hooks,PIT,ARI,2019-12-08,2019,14,Injured Reserve,,,
Lavon Hooks,PIT,BUF,2019-12-15,2019,15,Injured Reserve,,,
Lavon Hooks,PIT,NYJ,2019-12-22,2019,16,Injured Reserve,,,
Lavon Hooks,PIT,BAL,2019-12-29,2019,17,Injured Reserve,,,
