Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joshua Holsey,WAS,ARI,2018-09-09,2018,1,Injured Reserve,Foot,,
Joshua Holsey,WAS,IND,2018-09-16,2018,2,Injured Reserve,Foot,,
Joshua Holsey,WAS,GNB,2018-09-23,2018,3,Injured Reserve,Foot,,
Joshua Holsey,WAS,NOR,2018-10-08,2018,5,Injured Reserve,Foot,,
Joshua Holsey,WAS,CAR,2018-10-14,2018,6,Injured Reserve,Foot,,
Joshua Holsey,WAS,DAL,2018-10-21,2018,7,Injured Reserve,Foot,,
Joshua Holsey,WAS,NYG,2018-10-28,2018,8,Injured Reserve,Foot,,
Joshua Holsey,WAS,ATL,2018-11-04,2018,9,Injured Reserve,Foot,,
Joshua Holsey,WAS,TAM,2018-11-11,2018,10,Injured Reserve,Foot,,
Joshua Holsey,WAS,HOU,2018-11-18,2018,11,Injured Reserve,Foot,,
Joshua Holsey,WAS,DAL,2018-11-22,2018,12,Injured Reserve,Foot,,
Joshua Holsey,WAS,PHI,2018-12-03,2018,13,Injured Reserve,Foot,,
Joshua Holsey,WAS,NYG,2018-12-09,2018,14,Injured Reserve,Foot,,
Joshua Holsey,WAS,TEN,2018-12-22,2018,16,Injured Reserve,Foot,,
Joshua Holsey,WAS,PHI,2018-12-30,2018,17,Injured Reserve,Foot,,
