Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Don Carey,DET,PHI,2016-10-09,2016,5,Questionable,ribs,,
Don Carey,DET,LAR,2016-10-16,2016,6,Questionable,ribs,,
Don Carey,DET,MIN,2016-11-24,2016,12,Questionable,hamstring,,
Don Carey,DET,NOR,2016-12-04,2016,13,Questionable,hamstring,,
Don Carey,DET,CHI,2016-12-11,2016,14,Questionable,hamstring,,
Don Carey,DET,MIN,2017-10-01,2017,4,Questionable,Knee,,
Don Carey,DET,CAR,2017-10-08,2017,5,Questionable,Knee,,
Don Carey,DET,GNB,2017-11-06,2017,9,Questionable,Knee,,
Don Carey,DET,CLE,2017-11-12,2017,10,Questionable,Knee,,
Don Carey,DET,CHI,2017-11-19,2017,11,Questionable,Knee,,
Don Carey,JAX,NYG,2018-09-09,2018,1,Injured Reserve,Hamstring,,
Don Carey,JAX,NWE,2018-09-16,2018,2,Injured Reserve,Hamstring,,
Don Carey,JAX,TEN,2018-09-23,2018,3,Injured Reserve,Hamstring,,
Don Carey,JAX,NYJ,2018-09-30,2018,4,Injured Reserve,Hamstring,,
Don Carey,JAX,KAN,2018-10-07,2018,5,Injured Reserve,Hamstring,,
Don Carey,JAX,DAL,2018-10-14,2018,6,Injured Reserve,Hamstring,,
Don Carey,JAX,HOU,2018-10-21,2018,7,Injured Reserve,Hamstring,,
Don Carey,JAX,PHI,2018-10-28,2018,8,Injured Reserve,Hamstring,,
Don Carey,JAX,IND,2018-11-11,2018,10,Injured Reserve,Hamstring,,
Don Carey,JAX,PIT,2018-11-18,2018,11,Injured Reserve,Hamstring,,
Don Carey,JAX,BUF,2018-11-25,2018,12,Injured Reserve,Hamstring,,
Don Carey,JAX,IND,2018-12-02,2018,13,Injured Reserve,Hamstring,,
Don Carey,JAX,TEN,2018-12-06,2018,14,Injured Reserve,Hamstring,,
Don Carey,JAX,WAS,2018-12-16,2018,15,Injured Reserve,Hamstring,,
Don Carey,JAX,MIA,2018-12-23,2018,16,Injured Reserve,Hamstring,,
Don Carey,JAX,HOU,2018-12-30,2018,17,Injured Reserve,Hamstring,,
