Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tye Smith,TEN,JAX,2017-09-17,2017,2,Out,Hand,,
Tye Smith,TEN,MIA,2018-09-09,2018,1,Injured Reserve,Arm,,
Tye Smith,TEN,HOU,2018-09-16,2018,2,Injured Reserve,Arm,,
Tye Smith,TEN,JAX,2018-09-23,2018,3,Injured Reserve,Arm,,
Tye Smith,TEN,PHI,2018-09-30,2018,4,Injured Reserve,Arm,,
Tye Smith,TEN,BUF,2018-10-07,2018,5,Injured Reserve,Arm,,
Tye Smith,TEN,BAL,2018-10-14,2018,6,Injured Reserve,Arm,,
Tye Smith,TEN,LAC,2018-10-21,2018,7,Injured Reserve,Arm,,
Tye Smith,TEN,DAL,2018-11-05,2018,9,Injured Reserve,Arm,,
Tye Smith,TEN,NWE,2018-11-11,2018,10,Injured Reserve,Arm,,
Tye Smith,TEN,IND,2018-11-18,2018,11,Injured Reserve,Arm,,
Tye Smith,TEN,HOU,2018-11-26,2018,12,Injured Reserve,Arm,,
Tye Smith,TEN,NYJ,2018-12-02,2018,13,Injured Reserve,Arm,,
Tye Smith,TEN,JAX,2018-12-06,2018,14,Injured Reserve,Arm,,
Tye Smith,TEN,NYG,2018-12-16,2018,15,Injured Reserve,Arm,,
Tye Smith,TEN,WAS,2018-12-22,2018,16,Injured Reserve,Arm,,
Tye Smith,TEN,IND,2018-12-30,2018,17,Injured Reserve,Arm,,
Tye Smith,TEN,CIN,2020-11-01,2020,8,Questionable,Shoulder,,
Tye Smith,TEN,CHI,2020-11-08,2020,9,Injured Reserve,,,
Tye Smith,TEN,IND,2020-11-12,2020,10,Injured Reserve,,,
Tye Smith,TEN,BAL,2020-11-22,2020,11,Injured Reserve,,,
Tye Smith,TEN,IND,2020-11-29,2020,12,Injured Reserve,,,
