Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Johnathan Abram,OAK,KAN,2019-09-15,2019,2,Injured Reserve,,,
Johnathan Abram,OAK,MIN,2019-09-22,2019,3,Injured Reserve,,,
Johnathan Abram,OAK,IND,2019-09-29,2019,4,Injured Reserve,,,
Johnathan Abram,OAK,CHI,2019-10-06,2019,5,Injured Reserve,,,
Johnathan Abram,OAK,GNB,2019-10-20,2019,7,Injured Reserve,,,
Johnathan Abram,OAK,HOU,2019-10-27,2019,8,Injured Reserve,,,
Johnathan Abram,OAK,DET,2019-11-03,2019,9,Injured Reserve,,,
Johnathan Abram,OAK,LAC,2019-11-07,2019,10,Injured Reserve,,,
Johnathan Abram,OAK,CIN,2019-11-17,2019,11,Injured Reserve,,,
Johnathan Abram,OAK,NYJ,2019-11-24,2019,12,Injured Reserve,,,
Johnathan Abram,OAK,KAN,2019-12-01,2019,13,Injured Reserve,,,
Johnathan Abram,OAK,TEN,2019-12-08,2019,14,Injured Reserve,,,
Johnathan Abram,OAK,JAX,2019-12-15,2019,15,Injured Reserve,,,
Johnathan Abram,OAK,LAC,2019-12-22,2019,16,Injured Reserve,,,
Johnathan Abram,OAK,DEN,2019-12-29,2019,17,Injured Reserve,,,
Johnathan Abram,OAK,BUF,2020-10-04,2020,4,Questionable,Shoulder,,
Johnathan Abram,OAK,NYJ,2020-12-06,2020,13,Out,Knee,,
Johnathan Abram,OAK,IND,2020-12-13,2020,14,Questionable,Knee,,
Johnathan Abram,OAK,LAC,2020-12-17,2020,15,Out,Concussion,,
