Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Myles Humphrey,WAS,PHI,2019-09-08,2019,1,Injured Reserve,,,
Myles Humphrey,WAS,DAL,2019-09-15,2019,2,Injured Reserve,,,
Myles Humphrey,WAS,CHI,2019-09-23,2019,3,Injured Reserve,,,
Myles Humphrey,WAS,NYG,2019-09-29,2019,4,Injured Reserve,,,
Myles Humphrey,WAS,NWE,2019-10-06,2019,5,Injured Reserve,,,
Myles Humphrey,WAS,MIA,2019-10-13,2019,6,Injured Reserve,,,
Myles Humphrey,WAS,SFO,2019-10-20,2019,7,Injured Reserve,,,
Myles Humphrey,WAS,MIN,2019-10-24,2019,8,Injured Reserve,,,
Myles Humphrey,WAS,BUF,2019-11-03,2019,9,Injured Reserve,,,
Myles Humphrey,WAS,NYJ,2019-11-17,2019,11,Injured Reserve,,,
Myles Humphrey,WAS,DET,2019-11-24,2019,12,Injured Reserve,,,
Myles Humphrey,WAS,CAR,2019-12-01,2019,13,Injured Reserve,,,
Myles Humphrey,WAS,GNB,2019-12-08,2019,14,Injured Reserve,,,
Myles Humphrey,WAS,PHI,2019-12-15,2019,15,Injured Reserve,,,
Myles Humphrey,WAS,NYG,2019-12-22,2019,16,Injured Reserve,,,
Myles Humphrey,WAS,DAL,2019-12-29,2019,17,Injured Reserve,,,
