Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Andrew Van Ginkel,MIA,BAL,2019-09-08,2019,1,Injured Reserve,,,
Andrew Van Ginkel,MIA,NWE,2019-09-15,2019,2,Injured Reserve,,,
Andrew Van Ginkel,MIA,DAL,2019-09-22,2019,3,Injured Reserve,,,
Andrew Van Ginkel,MIA,LAC,2019-09-29,2019,4,Injured Reserve,,,
Andrew Van Ginkel,MIA,WAS,2019-10-13,2019,6,Injured Reserve,,,
Andrew Van Ginkel,MIA,BUF,2019-10-20,2019,7,Injured Reserve,,,
Andrew Van Ginkel,MIA,PIT,2019-10-28,2019,8,Injured Reserve,,,
Andrew Van Ginkel,MIA,NYJ,2019-11-03,2019,9,Injured Reserve,,,
Andrew Van Ginkel,MIA,IND,2019-11-10,2019,10,Injured Reserve,,,
Andrew Van Ginkel,MIA,BUF,2019-11-17,2019,11,Injured Reserve,,,
Andrew Van Ginkel,MIA,CLE,2019-11-24,2019,12,Injured Reserve,,,
