Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marcus Baugh,CAR,LAR,2019-09-08,2019,1,Injured Reserve,,,
Marcus Baugh,CAR,TAM,2019-09-12,2019,2,Injured Reserve,,,
Marcus Baugh,CAR,ARI,2019-09-22,2019,3,Injured Reserve,,,
Marcus Baugh,CAR,HOU,2019-09-29,2019,4,Injured Reserve,,,
Marcus Baugh,CAR,JAX,2019-10-06,2019,5,Injured Reserve,,,
Marcus Baugh,CAR,TAM,2019-10-13,2019,6,Injured Reserve,,,
Marcus Baugh,CAR,SFO,2019-10-27,2019,8,Injured Reserve,,,
Marcus Baugh,CAR,TEN,2019-11-03,2019,9,Injured Reserve,,,
Marcus Baugh,CAR,GNB,2019-11-10,2019,10,Injured Reserve,,,
Marcus Baugh,CAR,ATL,2019-11-17,2019,11,Injured Reserve,,,
Marcus Baugh,CAR,NOR,2019-11-24,2019,12,Injured Reserve,,,
Marcus Baugh,CAR,WAS,2019-12-01,2019,13,Injured Reserve,,,
Marcus Baugh,CAR,ATL,2019-12-08,2019,14,Injured Reserve,,,
Marcus Baugh,CAR,SEA,2019-12-15,2019,15,Injured Reserve,,,
Marcus Baugh,CAR,IND,2019-12-22,2019,16,Injured Reserve,,,
Marcus Baugh,CAR,NOR,2019-12-29,2019,17,Injured Reserve,,,
Marcus Baugh,WAS,LAR,2020-10-11,2020,5,Out,Not Injury Related,,
