Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marlon Mack,IND,CLE,2017-09-24,2017,3,Out,Shoulder,,
Marlon Mack,IND,SEA,2017-10-01,2017,4,Out,Shoulder,,
Marlon Mack,IND,CIN,2018-09-09,2018,1,Questionable,Hamstring,,
Marlon Mack,IND,WAS,2018-09-16,2018,2,Questionable,Hamstring,,
Marlon Mack,IND,PHI,2018-09-23,2018,3,Out,Foot,,
Marlon Mack,IND,HOU,2018-09-30,2018,4,Questionable,Hamstring,,
Marlon Mack,IND,NWE,2018-10-04,2018,5,Out,Hamstring,,
Marlon Mack,IND,OAK,2018-10-28,2018,8,Questionable,Ankle,,
Marlon Mack,IND,JAX,2018-12-02,2018,13,Questionable,Concussion,,
Marlon Mack,IND,ATL,2019-09-22,2019,3,Questionable,Calf,,
Marlon Mack,IND,KAN,2019-10-06,2019,5,Questionable,Ankle,,
Marlon Mack,IND,HOU,2019-11-21,2019,12,Out,Hand,,
Marlon Mack,IND,TEN,2019-12-01,2019,13,Out,Hand,,
Marlon Mack,IND,MIN,2020-09-20,2020,2,Injured Reserve,,,
Marlon Mack,IND,NYJ,2020-09-27,2020,3,Injured Reserve,,,
Marlon Mack,IND,CHI,2020-10-04,2020,4,Injured Reserve,,,
Marlon Mack,IND,CLE,2020-10-11,2020,5,Injured Reserve,,,
Marlon Mack,IND,CIN,2020-10-18,2020,6,Injured Reserve,,,
Marlon Mack,IND,DET,2020-11-01,2020,8,Injured Reserve,,,
Marlon Mack,IND,BAL,2020-11-08,2020,9,Injured Reserve,,,
Marlon Mack,IND,TEN,2020-11-12,2020,10,Injured Reserve,,,
Marlon Mack,IND,GNB,2020-11-22,2020,11,Injured Reserve,,,
Marlon Mack,IND,TEN,2020-11-29,2020,12,Injured Reserve,,,
Marlon Mack,IND,HOU,2020-12-06,2020,13,Injured Reserve,,,
Marlon Mack,IND,LVR,2020-12-13,2020,14,Injured Reserve,,,
Marlon Mack,IND,HOU,2020-12-20,2020,15,Injured Reserve,,,
Marlon Mack,IND,PIT,2020-12-27,2020,16,Injured Reserve,,,
Marlon Mack,IND,JAX,2021-01-03,2020,17,Injured Reserve,,,
