Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Alex Brown,KAN,HOU,2020-09-10,2020,1,Injured Reserve,,,
Alex Brown,KAN,LAC,2020-09-20,2020,2,Injured Reserve,,,
Alex Brown,KAN,BAL,2020-09-28,2020,3,Injured Reserve,,,
Alex Brown,KAN,NWE,2020-10-05,2020,4,Injured Reserve,,,
Alex Brown,KAN,LVR,2020-10-11,2020,5,Injured Reserve,,,
Alex Brown,KAN,BUF,2020-10-19,2020,6,Injured Reserve,,,
Alex Brown,KAN,DEN,2020-10-25,2020,7,Injured Reserve,,,
Alex Brown,KAN,NYJ,2020-11-01,2020,8,Injured Reserve,,,
Alex Brown,KAN,CAR,2020-11-08,2020,9,Injured Reserve,,,
Alex Brown,KAN,LVR,2020-11-22,2020,11,Injured Reserve,,,
Alex Brown,KAN,TAM,2020-11-29,2020,12,Injured Reserve,,,
Alex Brown,KAN,DEN,2020-12-06,2020,13,Injured Reserve,,,
Alex Brown,KAN,MIA,2020-12-13,2020,14,Injured Reserve,,,
Alex Brown,KAN,NOR,2020-12-20,2020,15,Injured Reserve,,,
Alex Brown,KAN,ATL,2020-12-27,2020,16,Injured Reserve,,,
Alex Brown,KAN,LAC,2021-01-03,2020,17,Injured Reserve,,,
