Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Isaiah Battle,KAN,NWE,2017-09-07,2017,1,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,PHI,2017-09-17,2017,2,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,LAC,2017-09-24,2017,3,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,WAS,2017-10-02,2017,4,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,HOU,2017-10-08,2017,5,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,PIT,2017-10-15,2017,6,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,OAK,2017-10-19,2017,7,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,DEN,2017-10-30,2017,8,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,DAL,2017-11-05,2017,9,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,NYG,2017-11-19,2017,11,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,BUF,2017-11-26,2017,12,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,NYJ,2017-12-03,2017,13,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,OAK,2017-12-10,2017,14,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,LAC,2017-12-16,2017,15,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,MIA,2017-12-24,2017,16,Injured Reserve,Hamstring,,
Isaiah Battle,KAN,DEN,2017-12-31,2017,17,Injured Reserve,Hamstring,,
